unidade,data_inicio,inicio,fim,duracao_h,num_ordem,tipo_ordem,status_ordem,previsao,atualizacao,categoria,mp_intervalo,is_preventiva,sistema,conjunto,item,descricao,problema,solucao,comentario,localizacao,id_equipamento
Mina A,2018-12-30,2018-12-30T22:28:48Z,2019-01-01T13:30:51Z,38.91,201904491586,Mãe,Fechada,NA,2019-01-01T14:44:03Z,MPS,500,TRUE,REVISÃO DE 500H,REVISÃO DE 500H,REVISÃO DE 500H,MPS - EXEC MANUT,Revisão De 500h,Revisão De 500h,REVISÃO DE 500H,MPS - EXEC MANUT,HAUL-0162
Mina A,2018-12-31,2018-12-31T00:00:00Z,2019-01-03T03:41:19Z,76.16,NA,Mãe,Fechada,NA,2019-01-03T03:41:23Z,MPS,NA,FALSE,NA,NA,NA,MPS - EXEC MANUT,NA,NA,NA,MPS - EXEC MANUT,HAUL-0052
Mina A,2018-12-31,2018-12-31T02:51:03Z,2019-01-01T13:30:51Z,34.34,201904491586,Filha,Fechada,1968-12-31T18:00:00Z,2019-01-01T14:44:03Z,MPS,500,TRUE,REVISÃO DE 500H,REVISÃO DE 500H,REVISÃO DE 500H,MPS - EXEC MANUT,Revisão De 500h,Revisão De 500h,REVISÃO DE 500H,OFICINA N5,HAUL-0162
Mina A,2018-12-31,2018-12-31T07:57:34Z,2019-01-01T21:36:03Z,37.8,202000000020,Mãe,Fechada,NA,2019-01-01T21:46:14Z,HMC,NA,FALSE,LOCOMOCAO,RODA TDI,PNEU,HMC - EXEC MANUT,Avaria,Trocar,SUBSTITUIR PEU TDI.,HMC - EXEC MANUT,HAUL-0150
Mina A,2018-12-31,2018-12-31T07:57:34Z,2019-01-01T01:27:11Z,17.44,202000000020,Filha,Fechada,1968-12-31T15:00:00Z,2019-01-01T21:46:14Z,HMC,NA,FALSE,LOCOMOCAO,RODA TDI,PNEU,HMC - EXEC MANUT,Avaria,Trocar,SUBSTITUIR PEU TDI.,OFC DE PNEUS N5,HAUL-0150
Mina A,2018-12-31,2018-12-31T08:11:58Z,2019-01-01T12:32:02Z,28.57,201904605143,Filha,Fechada,1968-12-31T15:00:00Z,2019-01-01T14:40:23Z,MPNS,NA,FALSE,PROPULSAO E RETARDO,ALTERNADOR PRINCIPAL,ALTERNADOR PRINCIPAL,MPNS - EXEC MANUT,Queima,Trocar,SUBSTITUIR ALTERNADOR PRINCIPAL E FLEXPLAY DO MOTOR,BAISA DA OFC N5,HAUL-0147
Mina A,2018-12-31,2018-12-31T13:03:55Z,2019-01-01T03:41:20Z,14.7,201904549393,Mãe,Fechada,NA,2019-01-01T05:48:35Z,MPS,250,TRUE,REVISÃO DE 250H,REVISÃO DE 250H,REVISÃO DE 250H,MPS - EXEC MANUT,Revisão De 250h,Revisão De 250h,REVISÃO DE 250 HS,MPS - EXEC MANUT,HAUL-0152
Mina A,2018-12-31,2018-12-31T14:50:27Z,2019-01-02T15:35:40Z,48.46,201904651249,Filha,Fechada,1968-12-31T00:00:00Z,2019-01-05T14:35:13Z,HMC,NA,FALSE,PROPULSAO E RETARDO,CAIXA DE RESISTENCIA DO MOTOR TD,CAIXA DE RESISTENCIA,HMC - EXEC MANUT,Fixacao,Fixar,CORRIGIR CORTE DE PROPULSÃO.,OFICINA N5,HAUL-0089
Mina A,2018-12-31,2018-12-31T17:32:25Z,2019-01-01T03:41:20Z,10.22,201904549393,Filha,Fechada,1968-12-31T15:00:00Z,2019-01-01T05:48:35Z,MPS,250,TRUE,REVISÃO DE 250H,REVISÃO DE 250H,REVISÃO DE 250H,MPS - EXEC MANUT,Revisão De 250h,Revisão De 250h,REVISÃO DE 250 HS,BAIAS DA OFC N5,HAUL-0152
Mina A,2018-12-31,2018-12-31T19:07:37Z,2019-01-03T11:21:37Z,63.92,201904519048,Mãe,Fechada,NA,2019-01-03T11:21:47Z,MPS,250,TRUE,REVISÃO DE 250H,REVISÃO DE 250H,REVISÃO DE 250H,MPS - EXEC MANUT,Revisão De 250h,Revisão De 250h,REVISÃO 250HS,MPS - EXEC MANUT,HAUL-0042
Mina A,2018-12-31,2018-12-31T19:50:35Z,2019-01-01T23:17:13Z,27.4,202000002592,Mãe,Fechada,NA,2019-01-03T00:22:52Z,HMC,NA,FALSE,LOCOMOCAO,RODA TEE,PNEU,HMC - EXEC MANUT,Fixacao,Reparar,AVALIAR PNEU TEE,HMC - EXEC MANUT,HAUL-0181
Mina A,2018-12-31,2018-12-31T19:50:35Z,2019-01-01T01:27:31Z,5.58,202000002592,Filha,Fechada,1968-12-31T06:00:00Z,2019-01-02T05:41:52Z,MPNS,NA,FALSE,LOCOMOCAO,RODA TEE,PNEU,MPNS - EXEC MANUT,Fixacao,Reparar,AVALIAR PNEU TEE,JACARE 620,HAUL-0181
Mina A,2018-12-31,2018-12-31T20:31:26Z,2019-01-01T01:39:34Z,5.13,202000002599,Mãe,Fechada,NA,2019-01-01T05:45:42Z,HMC,NA,FALSE,COMBATE INCENDIO,ACIONAMENTO AUTOMATICO,ALARME,HMC - EXEC MANUT,Fixacao,Normalizar,ALARME DO SISTEMA AFEX,HMC - EXEC MANUT,HAUL-0054
Mina A,2018-12-31,2018-12-31T20:31:26Z,2019-01-01T01:29:44Z,4.98,202000002599,Filha,Fechada,1968-12-31T09:00:00Z,2019-01-01T05:45:42Z,HMC,NA,FALSE,COMBATE INCENDIO,ACIONAMENTO AUTOMATICO,ALARME,HMC - EXEC MANUT,Fixacao,Normalizar,ALARME DO SISTEMA AFEX,HMC - EXEC MANUT,HAUL-0054
Mina A,2018-12-31,2018-12-31T20:31:42Z,2019-01-01T11:43:48Z,15.25,201904652951,Mãe,Fechada,NA,2019-01-01T14:38:59Z,MPNS,NA,FALSE,LOCOMOCAO,RODA DD,PNEU,MPNS - EXEC MANUT,Fixacao,Trocar,SUBSTITUIR PNEUS DIANTEIROS,MPNS - EXEC MANUT,HAUL-0134
Mina A,2018-12-31,2018-12-31T20:31:42Z,2019-01-01T11:43:48Z,15.08,201904652951,Filha,Fechada,1968-12-31T15:00:00Z,2019-01-01T14:38:59Z,MPNS,NA,FALSE,LOCOMOCAO,RODA DD,PNEU,MPNS - EXEC MANUT,Fixacao,Trocar,SUBSTITUIR PNEUS DIANTEIROS,OFICINA DE PNEUS N5,HAUL-0134
Mina A,2018-12-31,2018-12-31T21:18:33Z,2019-01-01T11:44:08Z,14.31,201904652228,Filha,Fechada,1968-12-31T15:00:00Z,2019-01-01T14:29:15Z,MPNS,NA,FALSE,LOCOMOCAO,RODA TDI,PNEU,HMC - EXEC MANUT,Furo,Trocar,SUBSTITUIR PNEU TDI,MANUT PNEU,HAUL-0033
Mina A,2018-12-31,2018-12-31T22:53:43Z,2019-01-02T22:45:47Z,47.56,201904491596,Mãe,Fechada,NA,2019-01-02T23:03:54Z,MPS,1000,TRUE,REVISÃO DE 1000H,REVISÃO DE 1000H,REVISÃO DE 1000H,MPS - EXEC MANUT,Revisão De 1000h,Revisão De 1000h,REVISÃO DE 1.000H,MPS - EXEC MANUT,HAUL-0157
Mina A,2018-12-31,2018-12-31T23:14:08Z,2019-01-01T00:49:47Z,1.61,201904491596,Filha,Fechada,1968-12-31T12:00:00Z,2019-01-02T23:03:54Z,MPS,1000,TRUE,REVISÃO DE 1000H,REVISÃO DE 1000H,REVISÃO DE 1000H,MPS - EXEC MANUT,Revisão De 1000h,Revisão De 1000h,REVISÃO DE 1.000H- LAVANDO,OFICINA DE N5,HAUL-0157
Mina A,2018-12-31,2018-12-31T23:41:38Z,2019-01-01T16:39:23Z,17.1,202000002583,Filha,Fechada,1968-12-31T03:00:00Z,2019-01-02T14:56:26Z,MPS,NA,FALSE,TRANSMISSAO DE FORCA,TRANSMISSAO,TRANSMISSAO,HMC - EXEC MANUT,Fixacao,Fixar,FALHA NA SELEÇÃO DE MARCHA,TENDA WN,HAUL-0042
Mina A,2019-01-01,2019-01-01T00:49:23Z,2019-01-01T01:18:02Z,0.48,201900004444,Mãe,Fechada,NA,2019-01-01T05:48:55Z,HMC,NA,FALSE,ERRO DE APROPRIAÇÃO DE CÓDIGO,ERRO DE APROPRIAÇÃO DE CÓDIGO,ERRO DE APROPRIAÇÃO DE CÓDIGO,HMC - EXEC MANUT,Erro De Apropriação De Código,Erro De Apropriação De Código,NA,HMC - EXEC MANUT,HAUL-0045
Mina A,2019-01-01,2019-01-01T00:49:47Z,2019-01-01T15:51:21Z,15.16,201904491596,Filha,Fechada,1968-12-31T15:00:00Z,2019-01-02T23:03:54Z,MPS,1000,TRUE,REVISÃO DE 1000H,REVISÃO DE 1000H,REVISÃO DE 1000H,MPS - EXEC MANUT,Revisão De 1000h,Revisão De 1000h,REVISÃO DE 1.000H,OFICINA DE N5,HAUL-0157
Mina A,2019-01-01,2019-01-01T01:27:11Z,2019-01-01T19:27:34Z,18.1,202000000020,Filha,Fechada,1968-12-31T18:00:00Z,2019-01-01T21:46:14Z,MPNS,NA,FALSE,LOCOMOCAO,RODA TDI,PNEU,HMC - EXEC MANUT,Avaria,Trocar,SUBSTITUIR PEU TDI.,OFC DE PNEUS N5,HAUL-0150
Mina A,2019-01-01,2019-01-01T01:27:31Z,2019-01-01T23:17:13Z,21.97,202000002592,Filha,Fechada,1968-12-31T06:00:00Z,2019-01-02T05:41:52Z,MPNS,NA,FALSE,LOCOMOCAO,RODA TEE,PNEU,MPNS - EXEC MANUT,Fixacao,Reparar,AVALIAR PNEU TEE,JACARE 620,HAUL-0181
Mina A,2019-01-01,2019-01-01T01:29:44Z,2019-01-01T01:39:34Z,0.17,202000002599,Filha,Fechada,1968-12-31T15:00:00Z,2019-01-01T05:45:42Z,HMC,NA,FALSE,COMBATE INCENDIO,ACIONAMENTO AUTOMATICO,ALARME,HMC - EXEC MANUT,Fixacao,Normalizar,ALARME DO SISTEMA AFEX,ETA NOVA,HAUL-0054
Mina A,2019-01-01,2019-01-01T03:04:04Z,2019-01-01T03:04:32Z,0.01,201900000006,Mãe,Fechada,NA,2019-01-01T05:49:24Z,MPS,NA,FALSE,ERRO DE APROPRIAÇÃO DE CÓDIGO,ERRO DE APROPRIAÇÃO DE CÓDIGO,ERRO DE APROPRIAÇÃO DE CÓDIGO,MPS - EXEC MANUT,Erro De Apropriação De Código,Erro De Apropriação De Código,NA,MPS - EXEC MANUT,HAUL-0149
Mina A,2019-01-01,2019-01-01T03:21:57Z,2019-01-01T03:48:31Z,0.44,201904439579,Mãe,Fechada,NA,2019-01-01T05:49:41Z,MPS,NA,FALSE,COMUNICACAO,DESPACHO,PAINEL CGC,MPS - EXEC MANUT,Falta De Comunicacao,Atualizar,DESPACHO,MPS - EXEC MANUT,HAUL-0149
Mina A,2019-01-01,2019-01-01T03:21:57Z,2019-01-01T03:48:31Z,0.44,201904439579,Filha,Fechada,1968-12-31T18:00:00Z,2019-01-01T05:49:41Z,MPS,NA,FALSE,COMUNICACAO,DESPACHO,PAINEL CGC,MPS - EXEC MANUT,Falta De Comunicacao,Atualizar,DESPACHO,MPS - EXEC MANUT,HAUL-0149
Mina A,2019-01-01,2019-01-01T03:56:25Z,2019-01-01T04:36:19Z,0.66,201900000444,Mãe,Fechada,NA,2019-01-01T05:49:56Z,MPS,NA,FALSE,COMUNICACAO,DESPACHO,PAINEL CGC,MPS - EXEC MANUT,Falta De Comunicacao,Atualizar,DESPACHO,MPS - EXEC MANUT,HAUL-0151
Mina A,2019-01-01,2019-01-01T03:56:25Z,2019-01-01T04:36:19Z,0.67,201900000444,Filha,Fechada,1968-12-31T18:00:00Z,2019-01-01T05:49:56Z,MPS,NA,FALSE,COMUNICACAO,DESPACHO,PAINEL CGC,MPS - EXEC MANUT,Falta De Comunicacao,Atualizar,DESPACHO,MPS - EXEC MANUT,HAUL-0151
Mina A,2019-01-01,2019-01-01T06:34:39Z,2019-01-01T10:36:16Z,3.99,202000011046,Mãe,Fechada,NA,2019-01-01T14:38:20Z,HMC,NA,FALSE,COMUNICACAO,RADIO AM/FM,RADIO AM/FM,HMC - EXEC MANUT,Comunicacao,Normalizar,FALHA NO RADIO,HMC - EXEC MANUT,HAUL-0130
Mina A,2019-01-01,2019-01-01T06:34:39Z,2019-01-01T10:08:05Z,3.57,202000011046,Filha,Fechada,1968-12-31T18:00:00Z,2019-01-01T14:38:20Z,HMC,NA,FALSE,COMUNICACAO,RADIO AM/FM,RADIO AM/FM,HMC - EXEC MANUT,Comunicacao,Normalizar,FALHA NO RADIO,BSM3,HAUL-0130
Mina A,2019-01-01,2019-01-01T08:40:30Z,2019-01-02T11:18:52Z,26.47,201904522258,Mãe,Fechada,2019-01-02T03:00:00Z,2019-01-02T15:02:36Z,MPS,250,TRUE,REVISÃO DE 250H,REVISÃO DE 250H,REVISÃO DE 250H,MPS - EXEC MANUT,Revisão De 250h,Revisão De 250h,REVISAO 250,MPS - EXEC MANUT,HAUL-0148
Mina A,2019-01-01,2019-01-01T08:40:30Z,2019-01-01T11:39:37Z,2.96,201904522258,Filha,Fechada,1968-12-31T09:00:00Z,2019-01-02T15:02:36Z,MPS,250,TRUE,REVISÃO DE 250H,REVISÃO DE 250H,REVISÃO DE 250H,MPS - EXEC MANUT,Revisão De 250h,Revisão De 250h,REVISAO 250,MPS - EXEC MANUT,HAUL-0148
Mina A,2019-01-01,2019-01-01T09:17:36Z,2019-01-01T21:54:34Z,12.62,202000011397,Mãe,Fechada,NA,2019-01-01T22:16:07Z,HMC,NA,FALSE,MOTOR DE COMBUSTAO,LUBRIFICACAO,OLEO,HMC - EXEC MANUT,Nivel Baixo,Avaliar,BX NIVEL OLEO MOTOR,HMC - EXEC MANUT,HAUL-0173
Mina A,2019-01-01,2019-01-01T09:17:36Z,2019-01-01T11:22:32Z,2.08,202000011397,Filha,Fechada,1968-12-31T15:00:00Z,2019-01-01T22:16:07Z,HMC,NA,FALSE,MOTOR DE COMBUSTAO,LUBRIFICACAO,OLEO,HMC - EXEC MANUT,Nivel Baixo,Avaliar,BX NIVEL OLEO MOTOR,TENDA,HAUL-0173
Mina A,2019-01-01,2019-01-01T09:24:44Z,2019-01-01T10:37:03Z,1.2,202000011401,Mãe,Fechada,NA,2019-01-01T14:33:02Z,HMC,NA,FALSE,TRANSMISSAO DE FORCA,DIFERENCIAL,DIFERENCIAL,HMC - EXEC MANUT,Vedacao,Vedar,BX PRESSÃO DOP DIFERENCIAL,HMC - EXEC MANUT,HAUL-0050
Mina A,2019-01-01,2019-01-01T09:24:44Z,2019-01-01T10:34:02Z,1.16,202000011401,Filha,Fechada,1968-12-31T15:00:00Z,2019-01-01T14:33:02Z,HMC,NA,FALSE,TRANSMISSAO DE FORCA,DIFERENCIAL,DIFERENCIAL,HMC - EXEC MANUT,Vedacao,Vedar,BX PRESSÃO DOP DIFERENCIAL,HMC - EXEC MANUT,HAUL-0050
Mina A,2019-01-01,2019-01-01T09:43:31Z,2019-01-01T15:34:46Z,5.89,202000011402,Mãe,Fechada,NA,2019-01-01T22:14:32Z,HMC,NA,FALSE,MOTOR DE COMBUSTAO,LUBRIFICACAO,CARTER,HMC - EXEC MANUT,Vazamento,Reparar,VAZ DE OLEO DO MOTOR,HMC - EXEC MANUT,HAUL-0175
Mina A,2019-01-01,2019-01-01T09:43:31Z,2019-01-01T11:06:47Z,1.39,202000011402,Filha,Fechada,1968-12-31T12:00:00Z,2019-01-01T22:14:32Z,HMC,NA,FALSE,MOTOR DE COMBUSTAO,LUBRIFICACAO,CARTER,HMC - EXEC MANUT,Vazamento,Reparar,VAZ DE OLEO DO MOTOR,HMC - EXEC MANUT,HAUL-0175
Mina A,2019-01-01,2019-01-01T09:59:38Z,2019-01-01T11:40:57Z,1.68,202000011418,Mãe,Fechada,NA,2019-01-01T14:44:22Z,HMC,NA,FALSE,COMUNICACAO,DESPACHO,ANTENA GPS,HMC - EXEC MANUT,Avaria Cabo,Recuperar,DESPAHO,HMC - EXEC MANUT,HAUL-0144
Mina A,2019-01-01,2019-01-01T09:59:38Z,2019-01-01T11:40:57Z,1.7,202000011418,Filha,Fechada,1968-12-31T18:00:00Z,2019-01-01T14:44:22Z,HMC,NA,FALSE,COMUNICACAO,DESPACHO,ANTENA GPS,HMC - EXEC MANUT,Avaria Cabo,Recuperar,DESPAHO,HMC - EXEC MANUT,HAUL-0144
Mina A,2019-01-01,2019-01-01T10:08:05Z,2019-01-01T10:36:16Z,0.47,202000011046,Filha,Fechada,1968-12-31T18:00:00Z,2019-01-01T14:38:20Z,HMC,NA,FALSE,COMUNICACAO,RADIO AM/FM,RADIO AM/FM,HMC - EXEC MANUT,Comunicacao,Normalizar,FALHA NO RADIO,BSM3,HAUL-0130
Mina A,2019-01-01,2019-01-01T10:20:14Z,2019-01-01T11:41:25Z,1.35,202000011491,Mãe,Fechada,NA,2019-01-01T14:43:12Z,HMC,NA,FALSE,MOTOR DE COMBUSTAO,PNEUMATICO,RESERVATORIO DE AR DO ACELERADOR,HMC - EXEC MANUT,Fixacao,Fixar,NÃO ACELERA AO ENGRENAR MARCHA,HMC - EXEC MANUT,HAUL-0180
Mina A,2019-01-01,2019-01-01T10:20:14Z,2019-01-01T11:41:25Z,1.34,202000011491,Filha,Fechada,1968-12-31T15:00:00Z,2019-01-01T14:43:12Z,HMC,NA,FALSE,MOTOR DE COMBUSTAO,ADMISSAO,FILTRO DE AR PRIMARIO,HMC - EXEC MANUT,Obstrucao,Limpar,NÃO ACELERA AO ENGRENAR MARCHA,HMC - EXEC MANUT,HAUL-0180
Mina A,2019-01-01,2019-01-01T10:22:01Z,2019-01-01T11:24:56Z,1.05,202000011494,Mãe,Fechada,NA,2019-01-01T14:34:00Z,HMC,NA,FALSE,MOTOR DE COMBUSTAO,COMBUSTIVEL,INJETOR CILINDRO 01,HMC - EXEC MANUT,Mau Contato,Reparar,ALARMANDO INJETOR,HMC - EXEC MANUT,HAUL-0055
Mina A,2019-01-01,2019-01-01T10:22:01Z,2019-01-01T11:21:52Z,1,202000011494,Filha,Fechada,1968-12-31T18:00:00Z,2019-01-01T14:34:00Z,HMC,NA,FALSE,MOTOR DE COMBUSTAO,COMBUSTIVEL,INJETOR CILINDRO 01,HMC - EXEC MANUT,Mau Contato,Reparar,ALARMANDO INJETOR,HMC - EXEC MANUT,HAUL-0055
Mina A,2019-01-01,2019-01-01T10:25:58Z,2019-01-01T13:33:00Z,3.11,202000011475,Mãe,Fechada,NA,2019-01-01T14:43:32Z,HMC,NA,FALSE,PROPULSAO E RETARDO,ALTERNADOR PRINCIPAL,ALTERNADOR PRINCIPAL,HMC - EXEC MANUT,Mau Contato,Ajustar,MONITOR VERMELHO/ POTENCIA E PROPULSAO,HMC - EXEC MANUT,HAUL-0146
Mina A,2019-01-01,2019-01-01T10:25:58Z,2019-01-01T13:33:00Z,3.1,202000011475,Filha,Fechada,1968-12-31T18:00:00Z,2019-01-01T14:43:32Z,HMC,NA,FALSE,PROPULSAO E RETARDO,ALTERNADOR PRINCIPAL,ALTERNADOR PRINCIPAL,HMC - EXEC MANUT,Mau Contato,Ajustar,MONITOR VERMELHO/ POTENCIA E PROPULSAO,HMC - EXEC MANUT,HAUL-0146
