id_ciclo,data_hora_inicio,turno,equipe,id_equipamento,id_carga,massa_transportada,carga_alvo,TVV,TFC,TMC,TC,TVC,TFB,TMB,TB,tempo_ciclo_total,dmt_total,tkph_viagem
32,2023-06-03T00:31:11Z,Noite,Turma A,HAUL-0029,LOAD-0001,351.61,434.02,11.67,2.24,1.52,2.51,7.36,0,0,1.25,26.33,1102.53,1163.05
33,2023-06-07T04:19:30Z,Noite,Turma A,HAUL-0027,LOAD-0003,298.74,425.93,10.51,0,0.25,3.51,8.42,0,0,1.2,23.79,767.67,817.19
34,2023-06-07T03:44:29Z,Noite,Turma A,HAUL-0014,LOAD-0003,241.72,269.68,4.52,0,1.27,3.26,6.98,0.4,0,0.65,17.25,602.19,660.16
35,2023-06-07T04:02:39Z,Noite,Turma A,HAUL-0005,LOAD-0003,214.94,272.65,14.9,0,0.48,2.61,6.89,0,0,0.74,25.74,936.34,988.39
36,2023-06-09T23:59:40Z,Noite,Turma C,HAUL-0020,LOAD-0001,367.84,429,8.6,2.85,0.93,3.14,13.93,0,0,1.32,30.64,1502.68,1557.53
37,2023-06-10T00:05:14Z,Noite,Turma C,HAUL-0021,LOAD-0001,334.02,427.01,6.68,0,0.45,2.49,8.3,0,0,3.31,21.19,1237.91,1312.21
38,2023-06-09T23:55:37Z,Noite,Turma C,HAUL-0017,LOAD-0001,382.02,427.04,9.41,1.45,1.46,3.11,10.9,0,0,1.53,27.66,1555.04,1633.54
39,2023-06-09T23:59:19Z,Noite,Turma C,HAUL-0027,LOAD-0001,252.88,429.54,5.87,0.8,1.01,2.83,8.35,0,0,2.46,20.97,613.93,652.46
40,2023-06-09T23:51:04Z,Noite,Turma C,HAUL-0028,LOAD-0001,307.54,428.36,8.28,4.15,1.89,1.69,10.44,0,0,1.63,28.05,1219.27,1314.93
41,2023-06-09T23:55:28Z,Noite,Turma C,HAUL-0025,LOAD-0001,374.01,425.74,9.43,0,0.05,2.81,9.39,0,0,0.02,21.86,1440.82,1492.46
42,2023-06-12T20:13:01Z,Dia,Turma B,HAUL-0021,LOAD-0001,385.24,428.43,11.23,4,1.05,3.39,4.8,0,0,2.41,26.87,468.48,491.91
43,2023-06-12T19:56:01Z,Dia,Turma B,HAUL-0019,LOAD-0001,304.87,426.85,5.68,4.03,1.25,3.39,3.17,0,0,1.95,19.65,365.75,390.1
44,2023-06-12T19:49:56Z,Dia,Turma B,HAUL-0024,LOAD-0001,357.06,430.17,15.18,0.68,1.77,4.64,12.81,0,0,1.7,37.14,1609.59,1719.89
45,2023-06-12T19:48:00Z,Dia,Turma B,HAUL-0015,LOAD-0001,408.24,429.45,9.44,0,1.36,3.63,5.51,0,0,3.64,23.32,498.49,519.51
46,2023-06-17T09:29:09Z,Noite,Turma A,HAUL-0016,LOAD-0003,382.32,427.75,7.77,0,0.52,7.35,7.7,0,0,0.73,23.98,947.61,996.48
47,2023-06-17T09:34:52Z,Noite,Turma A,HAUL-0014,LOAD-0003,256.92,267.89,9.47,0,0.44,3.2,8.63,0.53,0,0.73,23.15,793.75,857.89
48,2023-06-17T09:17:22Z,Noite,Turma A,HAUL-0017,LOAD-0001,419.21,431.23,2.03,13.61,1.22,4.04,28.24,0,0,0.1,49.5,2122.87,2188.01
49,2023-06-17T09:38:04Z,Noite,Turma A,HAUL-0025,LOAD-0003,392.75,434.08,13.52,0,0.1,7.78,11.75,0,0,2.4,35.54,1101.06,1154.08
50,2023-06-17T09:57:25Z,Noite,Turma A,HAUL-0014,LOAD-0003,205.96,271.07,8.42,1.06,0.92,2.22,4.2,0,0,0.75,17.73,614.47,670.78
51,2023-06-14T20:33:01Z,Dia,Turma D,HAUL-0021,LOAD-0001,399.64,427.13,3.59,0.47,1.26,3.35,5.11,0,0,1.34,15,686.4,720.43
52,2023-06-14T20:34:48Z,Dia,Turma D,HAUL-0028,LOAD-0001,355.39,432.36,4.28,4.65,0.94,2.75,4,0,0,2.35,18.9,388.25,408.65
53,2023-06-14T20:39:09Z,Dia,Turma D,HAUL-0022,LOAD-0001,419.39,426.72,3.7,3.24,1.26,2.52,3.22,0,0,0,13.96,711.78,740.31
54,2023-06-22T23:33:19Z,Dia,Turma B,HAUL-0016,LOAD-0001,379.21,427.1,2.94,2.35,0.69,3.98,6.86,0.67,0,0.71,18.1,1086.43,1126.05
55,2023-06-22T23:21:55Z,Dia,Turma B,HAUL-0023,LOAD-0001,402.69,430.03,7.75,5.39,1.16,3.02,9.54,1,0,0.94,28.87,1144.48,1202
56,2023-06-22T23:00:41Z,Dia,Turma B,HAUL-0024,LOAD-0001,355.9,428.83,5.1,0,1.1,1.93,7.44,0.46,0,0.88,16.93,1007.28,1065.81
57,2023-06-22T23:15:08Z,Dia,Turma B,HAUL-0022,LOAD-0001,387.09,428.53,12.57,2.55,1.97,1.4,10.3,0.1,0,0.99,29.47,1112.25,1161.08
58,2023-06-27T05:04:32Z,Noite,Turma A,HAUL-0018,LOAD-0001,411.27,425.89,9.31,0,0.39,3.45,10.32,0,0,1.43,25,1804.48,1872.35
59,2023-06-27T04:49:46Z,Noite,Turma A,HAUL-0010,LOAD-0001,226.27,271.06,4,0,0.86,2.16,14.4,0.85,0,0.89,23.04,1088.74,1196.28
60,2023-06-27T04:48:51Z,Noite,Turma A,HAUL-0019,LOAD-0001,371.37,427.11,8.32,0,1.04,3,13.01,0,0,1.56,26.78,1802.89,1883.23
61,2023-06-27T04:46:14Z,Noite,Turma A,HAUL-0027,LOAD-0001,341.12,432.06,7.67,0,0.48,2.99,12.68,0,0,1.27,25.28,1609.24,1667.38
63,2023-06-17T09:12:05Z,Noite,Turma A,HAUL-0025,LOAD-0001,360.76,429.88,8.39,11.76,0.08,2.6,3.5,0,0,1.31,27.77,394.95,413.66
64,2023-06-17T08:53:01Z,Noite,Turma A,HAUL-0029,LOAD-0001,397.9,427.67,9.62,2.51,0.96,3.13,6.64,0,0,1.39,24.44,884.16,926.87
65,2023-06-17T08:57:27Z,Noite,Turma A,HAUL-0018,LOAD-0001,383.5,432.56,3.35,4.83,1.19,3.25,3.45,0,0,1.7,17.83,421.89,437.03
67,2023-06-17T08:29:08Z,Noite,Turma A,HAUL-0019,LOAD-0001,362.84,426.41,14.02,0,0.35,2.66,4.14,0,0,0,21.38,389.82,411.23
68,2023-06-08T00:12:41Z,Noite,Turma C,HAUL-0025,LOAD-0001,365.57,431.08,6.2,4.34,1.48,2.46,9.5,0,0,1.4,25.1,1071.63,1120.78
69,2023-06-06T09:28:22Z,Noite,Turma C,HAUL-0002,LOAD-0003,226.32,271.82,24.35,0,2.7,0.05,1.51,5.25,0,0.58,34.63,92.47,96.86
70,2023-06-06T09:14:45Z,Noite,Turma C,HAUL-0010,LOAD-0003,224.73,272.6,9.8,0,0,0.8,1.88,0,0,3.9,16.5,92.21,96.39
71,2023-06-20T01:34:52Z,Noite,Turma C,HAUL-0003,LOAD-0003,226.15,270.87,2.79,4.79,0.05,4.02,2.19,4.3,0,0.64,18.55,217.81,228.69
72,2023-06-22T00:15:58Z,Noite,Turma A,HAUL-0011,LOAD-0004,211.45,269.77,13.59,4.2,2.44,3.09,17.4,1.4,0,0.68,42.61,1697.45,1822.06
73,2023-06-22T00:10:26Z,Noite,Turma A,HAUL-0003,LOAD-0004,178.95,269.82,5.36,0,0.64,3.09,18.35,2.89,0,0.98,30.85,841.37,950.66
74,2023-06-18T06:33:56Z,Noite,Turma A,HAUL-0014,LOAD-0003,244.43,272.3,9.2,0.37,0.97,4.12,1.62,2.07,0,0.55,18.78,116.12,123.04
75,2023-06-18T06:43:49Z,Noite,Turma A,HAUL-0008,LOAD-0003,233.38,268.9,20.39,5.12,1.44,3.08,2,0.96,0,0.6,33.48,108.77,116.78
76,2023-06-21T23:09:10Z,Dia,Turma B,HAUL-0003,LOAD-0004,178,268.01,13.39,1.39,2.12,5.45,18.12,3.38,0,0.75,44.47,859.3,969.92
77,2023-06-21T23:31:04Z,Dia,Turma B,HAUL-0011,LOAD-0004,195.43,272.31,14.78,2.65,1.64,2.92,19.68,0.92,0,0.85,43.79,1579.66,1707.62
78,2023-06-21T22:25:34Z,Dia,Turma B,HAUL-0003,LOAD-0004,219.49,269.19,12.21,0,0.08,2.63,18.01,1.81,0,0.78,35.34,1118.41,1173.49
79,2023-06-21T22:47:03Z,Dia,Turma B,HAUL-0011,LOAD-0004,246.37,271.5,4.86,0,1.1,2.63,19.58,1.47,0,0.86,30.61,2006.01,2143.96
80,2023-06-21T22:56:46Z,Dia,Turma B,HAUL-0004,LOAD-0004,225.23,272.41,6.64,0,2.06,2.88,15.9,0.93,0,0.87,29.41,1116.01,1210.2
81,2023-06-25T11:29:34Z,Noite,Turma A,HAUL-0003,LOAD-0003,217.88,271.41,2.5,8.14,2.24,2.47,4.97,0,0,1.01,21.32,320.84,334.72
82,2023-06-25T11:30:16Z,Noite,Turma A,HAUL-0015,LOAD-0002,358.2,434.11,6.63,5.15,1.71,2.26,4.42,0,0,1.9,22.19,813.64,857.74
83,2023-06-25T11:34:36Z,Noite,Turma A,HAUL-0025,LOAD-0002,376.78,430.79,4.8,6.91,0.73,3.6,5.96,0,0,1.45,23.32,909.84,959.36
84,2023-06-25T11:30:47Z,Noite,Turma A,HAUL-0029,LOAD-0001,339.45,430.15,9.09,4.05,1.66,3.27,12.39,0,0,1.43,31.95,1267.17,1350.08
85,2023-06-27T07:47:21Z,Noite,Turma C,HAUL-0021,LOAD-0002,396.82,430.51,5.44,2.86,1.51,2.97,6.89,0,0,0.85,20.64,954.55,989.7
86,2023-06-27T07:49:07Z,Noite,Turma C,HAUL-0020,LOAD-0001,319.78,428.65,4.67,5,0.96,3.23,6.28,0,0,0.71,21,606.94,647.37
87,2023-06-27T07:51:35Z,Noite,Turma C,HAUL-0015,LOAD-0002,386.21,428.65,21.4,2.31,1.47,2.73,5.69,0,0,1.4,34.59,881.54,909.74
88,2023-06-03T00:27:09Z,Noite,Turma A,HAUL-0028,LOAD-0001,366.86,427.19,6.54,0.74,0.9,3.24,7.92,0,0,0.92,20.2,0,0
89,2023-06-03T00:19:39Z,Noite,Turma A,HAUL-0023,LOAD-0001,355.93,430.35,7.08,3.7,1.01,3.43,11.23,0,0,2.25,28.65,1116.62,1191.04
90,2023-06-03T00:13:44Z,Noite,Turma A,HAUL-0019,LOAD-0001,355.67,431.32,3.67,11.16,1.7,2.42,9.07,0,0,1.95,30.31,1109.22,1168.07
91,2023-06-07T03:27:33Z,Noite,Turma A,HAUL-0021,LOAD-0001,378.98,427.06,13.06,0,0.79,3.19,10.46,0,0,1.96,29.42,1245.32,1280.5
92,2023-06-07T03:17:12Z,Noite,Turma A,HAUL-0003,LOAD-0003,217.66,269.46,9.91,0,1.99,2.48,16.17,0.23,0,0.79,31.25,561.58,592.78
93,2023-06-09T23:47:29Z,Dia,Turma D,HAUL-0016,LOAD-0001,252.41,431.81,15.11,4.12,0.97,1.81,10.15,0,0,1.5,33.71,1444.03,1083.57
95,2023-06-09T23:41:10Z,Dia,Turma D,HAUL-0018,LOAD-0001,362.39,426.74,10.28,0,0.65,2.4,11.17,0,0,1.83,26.32,1467.79,1535.52
96,2023-06-09T23:45:27Z,Dia,Turma D,HAUL-0021,LOAD-0001,317.11,431.41,7.13,0,0.64,2.56,9.38,0,0,0.75,20.6,1206,1252.3
97,2023-06-09T23:29:55Z,Dia,Turma D,HAUL-0020,LOAD-0001,377.82,433.13,9.67,0,0.87,3.2,12.55,0,0,1.72,28.08,1525.39,1610.83
98,2023-06-12T19:43:30Z,Dia,Turma B,HAUL-0018,LOAD-0001,397.34,432.18,9.14,0,0.4,2.44,13.66,0,0,1.41,27.03,1870.26,1919.07
99,2023-06-12T19:38:08Z,Dia,Turma B,HAUL-0021,LOAD-0001,375.95,425.77,13.05,2.54,0.98,2.28,13.57,0,0,1.68,34.54,1719.67,1826.17
100,2023-06-12T19:46:25Z,Dia,Turma B,HAUL-0016,LOAD-0001,377.09,428.47,10.43,0,0.42,4.57,6.88,0,0,2.82,24.93,935.75,991.49
101,2023-06-08T00:15:36Z,Noite,Turma C,HAUL-0026,LOAD-0001,353.71,431.83,6.65,5.15,0.54,2.37,9.81,0,0,0.88,25.44,832.86,896.76
102,2023-06-08T00:22:22Z,Noite,Turma C,HAUL-0012,LOAD-0001,203.42,270,8.59,6.31,1.23,1.63,4.58,1.12,0,0.7,24.16,217.49,233.33
103,2023-06-08T00:27:56Z,Noite,Turma C,HAUL-0029,LOAD-0001,365.82,432.89,9.44,1.91,0.84,2.75,8.56,0,0,1.57,24.9,953.7,1000.32
104,2023-06-17T08:20:55Z,Noite,Turma A,HAUL-0029,LOAD-0003,369.43,432.87,5.19,9.97,0.96,6.52,14.31,0,0,1.57,38.48,1736.19,1821.45
105,2023-06-17T08:31:58Z,Noite,Turma A,HAUL-0010,LOAD-0003,219.72,270.57,7.3,5.41,2.74,2.78,8.03,0.69,0,0.61,27.39,662.91,717.98
106,2023-06-17T08:34:53Z,Noite,Turma A,HAUL-0003,LOAD-0003,218.69,269.67,5.86,5.51,0.87,2.06,10.53,0,0,0.71,25.71,684.81,717.36
107,2023-06-14T20:37:56Z,Dia,Turma D,HAUL-0012,LOAD-0001,245.11,272.1,20.93,4.56,1.1,2.03,4.81,0.23,0,0.59,34.47,257.95,276.47
108,2023-06-14T20:42:45Z,Dia,Turma D,HAUL-0015,LOAD-0001,366.8,434.23,3.47,1.75,0.98,2.62,2.05,0,0,0,10.87,607.44,656.06
109,2023-06-14T20:45:01Z,Dia,Turma D,HAUL-0022,LOAD-0001,359.36,426.59,0.47,1.5,0.23,0.47,4.34,0,0,0.12,7.08,390.07,410.05
110,2023-06-14T20:11:14Z,Dia,Turma D,HAUL-0028,LOAD-0001,324.49,431.82,5.48,0,0.58,2.05,9.16,0,0,1.83,19.23,356.51,375.6
111,2023-06-14T20:14:00Z,Dia,Turma D,HAUL-0015,LOAD-0001,408.63,432.17,3.94,3.25,1.58,2.69,4.1,0,0,1.39,16.89,682.61,714.33
112,2023-06-22T23:11:46Z,Dia,Turma B,HAUL-0019,LOAD-0001,319.62,426.75,10.42,0,1.25,2.64,9.27,1.54,0,1.08,25.87,901.15,948.13
113,2023-06-22T23:04:46Z,Dia,Turma B,HAUL-0018,LOAD-0001,375.77,427.83,4.1,0,0.58,2.49,8.71,0.56,0,1.04,17.69,1077.55,1117.49
114,2023-06-22T22:27:02Z,Dia,Turma B,HAUL-0026,LOAD-0001,293.3,429.93,7.14,0,0.03,2.72,8.97,0,0,1.07,19.75,819.38,861.16
115,2023-06-22T22:57:15Z,Dia,Turma B,HAUL-0030,LOAD-0001,384.89,433.6,4.89,2.55,0.55,4.04,7.38,0.37,0,0.8,20.64,1085.89,1149.71
116,2023-06-22T22:52:37Z,Dia,Turma B,HAUL-0015,LOAD-0001,372.22,430.1,5.01,0,0.84,3.55,9.65,0.71,0,1.21,20.81,1069.8,1110.42
117,2023-06-22T22:44:14Z,Dia,Turma B,HAUL-0025,LOAD-0001,380.47,431.24,6.57,1.56,0.89,2.6,7.91,0.63,0,0.85,21.11,1080.45,1118.95
118,2023-06-27T04:38:25Z,Noite,Turma A,HAUL-0018,LOAD-0001,368.11,427.57,7.95,0,0.7,3.14,11.57,0,0,1.56,24.68,1836.29,1961.15
119,2023-06-27T04:38:01Z,Noite,Turma A,HAUL-0021,LOAD-0001,353.1,427.72,11.22,6.54,2,2.85,10.32,0,0,1.74,34.71,1522.29,1623.75
120,2023-06-27T04:33:10Z,Noite,Turma A,HAUL-0030,LOAD-0001,398.64,432.86,9.19,2.64,1.37,3.64,12.71,0,0,1.48,31.22,1948.74,2003.63
121,2023-06-27T04:28:09Z,Noite,Turma A,HAUL-0031,LOAD-0001,410.81,429.88,4.62,17.63,1.34,6.66,12.75,0,0,1.66,44.39,1987.35,2065.64
122,2023-06-27T04:18:20Z,Noite,Turma A,HAUL-0017,LOAD-0001,409.72,433.76,6.85,5.17,1.11,3.37,13.91,0,0,1.6,31.74,2050.14,2148.8
123,2023-06-17T08:40:45Z,Noite,Turma A,HAUL-0024,LOAD-0001,364.59,426.57,10.29,5.19,0.89,2.24,5.91,0,0,2.06,26.54,797.71,846.11
124,2023-06-17T08:33:35Z,Noite,Turma A,HAUL-0017,LOAD-0001,354.4,430.68,12.02,1.91,1.41,3.03,5.76,0,0,2,26.15,790.14,823.51
125,2023-06-17T09:59:47Z,Noite,Turma A,HAUL-0019,LOAD-0001,351.98,432.66,3.62,1.68,2.05,2.38,8.08,0,0,0,17.84,384,405.27
126,2023-06-17T09:46:59Z,Noite,Turma A,HAUL-0024,LOAD-0001,363.49,429.02,5.99,8.86,1.3,2.1,5.22,0,0,0.5,24.12,388.96,413.05
127,2023-06-17T09:50:44Z,Noite,Turma A,HAUL-0016,LOAD-0001,385.32,432.44,6.09,3.29,1.11,2.66,4.52,0,0,0,17.58,429.59,449.53
128,2023-06-17T09:43:35Z,Noite,Turma A,HAUL-0019,LOAD-0001,365.88,426.45,11.91,4.84,3.24,2.35,6.48,0,0,0,28.62,404.08,427.11
129,2023-06-17T09:38:00Z,Noite,Turma A,HAUL-0023,LOAD-0001,388.8,433.76,2.61,0,1.97,2.84,3.25,0,0,1.21,11.8,427.5,448.58
130,2023-06-06T09:01:15Z,Noite,Turma C,HAUL-0010,LOAD-0003,243.52,269.52,1,0,0.6,3.47,1.83,0.49,0,0.52,7.87,95.61,104.14
131,2023-06-10T22:25:27Z,Dia,Turma D,HAUL-0015,LOAD-0001,374.69,432.81,4.62,0,0.6,3.2,7.38,0,0,0.7,16.46,1048.68,1107.44
132,2023-06-10T22:25:48Z,Dia,Turma D,HAUL-0025,LOAD-0001,374.91,428.14,5.6,2.6,1.29,3.78,7.88,0,0,1.15,22.51,875.35,906.74
133,2023-06-10T22:28:34Z,Dia,Turma D,HAUL-0019,LOAD-0001,274.75,429.79,4.18,3.77,1.04,2.07,7.26,0,0,0,18.22,746.6,807.28
134,2023-06-16T21:46:51Z,Dia,Turma D,HAUL-0024,LOAD-0001,354.67,433.17,8.1,0,0.67,2.17,9.91,0,0,3.87,24.84,1193.08,1291.04
135,2023-06-16T21:52:04Z,Dia,Turma D,HAUL-0031,LOAD-0003,378.76,431.94,5.46,1.33,1.16,2.66,6.89,0,0,2.16,19.65,920.67,983.67
136,2023-06-16T21:22:17Z,Dia,Turma D,HAUL-0030,LOAD-0001,381.82,430.58,7.5,0.87,2.62,4,18.41,0,0,3.35,36.83,1019.08,1070.68
137,2023-06-21T11:07:00Z,Noite,Turma A,HAUL-0029,LOAD-0002,385.97,434.1,4.43,0.87,1.94,4.31,3.93,1.3,0,0.86,17.6,716.17,751.42
138,2023-06-21T10:58:09Z,Noite,Turma A,HAUL-0018,LOAD-0002,339.33,432.24,5.34,4.78,1.15,2.58,12.56,0.66,0,2.19,29.16,1500.64,1584.17
139,2023-06-21T11:13:18Z,Noite,Turma A,HAUL-0022,LOAD-0002,371.23,431.1,6.99,0,0.23,3.41,5.97,0.12,0,0.94,17.68,685.11,716.14
140,2023-06-21T11:10:32Z,Noite,Turma A,HAUL-0016,LOAD-0001,381.44,430.79,9.85,0,0.52,2.88,13.52,0.57,0,0.68,28.21,1548.11,1613.15
141,2023-06-21T11:14:15Z,Noite,Turma A,HAUL-0028,LOAD-0001,400.59,430.66,9.85,1.24,1.14,2.58,11.8,0.99,0,0.05,27.56,1621.73,1686.4
142,2023-06-23T13:14:50Z,Dia,Turma B,HAUL-0018,LOAD-0001,349.67,431.05,16.47,1.58,1.03,4.31,11.35,0.25,0,0.78,35.86,1620.25,1702.76
143,2023-06-23T13:19:17Z,Dia,Turma B,HAUL-0030,LOAD-0001,363.8,431.1,7.55,6,0.5,3.96,11.12,2.4,0,1.1,32.35,1183.58,1238.96
144,2023-06-23T13:27:10Z,Dia,Turma B,HAUL-0029,LOAD-0001,345.3,428.6,8.92,0,0.9,4.36,8.93,2.1,0,0.85,25.77,1293.29,1351.29
145,2023-06-23T13:35:28Z,Dia,Turma B,HAUL-0004,LOAD-0003,222.51,272.28,8.04,0,1.09,2.74,10.89,0.89,0,0.58,24.01,787.33,858.16
146,2023-06-23T13:34:47Z,Dia,Turma B,HAUL-0024,LOAD-0001,355.08,431.57,13.18,0,0.55,2.12,12.45,0.66,0,0.99,29.72,1728.2,1826.97
147,2023-06-08T00:34:10Z,Noite,Turma C,HAUL-0021,LOAD-0001,345.59,432.44,8.1,7.5,1.28,2.32,8.44,0,0,0.97,28.48,896.22,949.23
148,2023-06-08T00:30:35Z,Noite,Turma C,HAUL-0015,LOAD-0001,371.92,433.51,8.54,5.37,1.03,1.6,11.18,0,0,3.31,31.17,1111.05,1177.51
149,2023-06-08T00:37:00Z,Noite,Turma C,HAUL-0026,LOAD-0001,351.2,429.41,7.56,0.38,0.66,2.19,8,0,0,0.76,19.47,976.55,1052.32
150,2023-06-08T00:45:48Z,Noite,Turma C,HAUL-0012,LOAD-0003,200.23,267.83,11.3,1.46,0.94,3.27,2.9,0.53,0,0.53,20.88,196.16,214.55
151,2023-06-08T00:37:00Z,Noite,Turma C,HAUL-0018,LOAD-0001,359.18,431.24,2.49,9.01,1.08,3.03,3.86,0,0,1.29,20.62,392.56,412.02
152,2023-06-10T21:44:17Z,Dia,Turma D,HAUL-0016,LOAD-0001,375.58,430.56,5.34,8.14,0.94,3.2,16.86,0,0,0.95,35.5,1746.87,1858.38
153,2023-06-10T22:41:40Z,Dia,Turma D,HAUL-0020,LOAD-0001,380.54,433.67,5.47,1.4,0.17,3.29,9.73,0,0,0.7,20.75,1312.76,1349.35
154,2023-06-10T22:41:28Z,Dia,Turma D,HAUL-0024,LOAD-0001,351.21,433.4,16.47,1.86,1.22,3.16,10.94,0,0,1.11,34.95,965.58,1048.11
155,2023-06-10T22:44:55Z,Dia,Turma D,HAUL-0027,LOAD-0001,323.66,432.11,8.59,9.66,0.89,2.33,8.25,0,0,1.28,31.23,797.96,843.64
156,2023-06-10T22:45:41Z,Dia,Turma D,HAUL-0025,LOAD-0001,364.4,433.44,4.13,2.5,1.01,3.17,7.66,0,0,1.2,19.66,1025.84,1071.75
157,2023-06-10T22:46:53Z,Dia,Turma D,HAUL-0028,LOAD-0001,389.16,426.45,4.1,3.4,1.56,4.08,6.56,0,0,1.37,21.18,898.08,949.29
158,2023-06-16T22:01:36Z,Dia,Turma D,HAUL-0028,LOAD-0001,378.54,427.63,2.43,1.02,1.4,5.1,9.12,0,0,2.16,21.34,1337.13,1383
159,2023-06-16T22:04:03Z,Dia,Turma D,HAUL-0001,LOAD-0003,215.76,268.77,10.31,0,0.32,2.12,11.43,0.02,0,1.55,25.49,509.86,554.17
160,2023-06-21T11:19:08Z,Noite,Turma A,HAUL-0030,LOAD-0001,379.75,429.58,10.89,0,0.32,3.01,12.15,0,0,0.85,27.28,1509.25,1614.65
161,2023-06-21T11:30:32Z,Noite,Turma A,HAUL-0025,LOAD-0002,410.42,431.23,5.43,5.44,1.26,3.38,4.89,1.92,0,0.87,23.36,635.03,806.99
162,2023-06-21T11:27:35Z,Noite,Turma A,HAUL-0018,LOAD-0001,378.49,428.11,10.2,0,0.87,2.85,12.99,0.74,0,0.92,28.92,1512.76,1602.68
