data,turno,DF,UF,produtividade_ht,producao_total,carga_media,num_viagens,tkph,dmt,vel_cheio,vel_vazio,vel_global,tempo_ciclo_total,tempo_fixo,tempo_viagem_cheio,tempo_viagem_vazio,tempo_carregamento,tempo_manobra,tempo_fila_carga,tempo_fila_basculo,tempo_basculo,HC,HM,HD,HO,HT,HTP,HTNP,HEF,HAO,id_equipamento
2019-01-06,1,57.79,69.17,549.56,1339.09,243.05,22,1640.26,2.97,17.1,31.42,22.63,24,7.1,10.42,6.49,3.17,0.68,2.28,0.32,0.65,5.98,2.52,3.48,1.05,2.42,2.23,0.2,1.7,0.53,HAUL-006
2019-01-06,2,71.37,84.34,438.17,1585.06,244.09,25,2155.86,4.95,19.28,28.51,23.26,33.54,6.7,15.41,11.42,3.53,0.64,1.49,0.43,0.61,6.02,1.73,4.27,0.66,3.62,3.28,0.34,2.47,0.8,HAUL-006
2019-01-06,3,75.03,85.04,495.53,1877.55,243.92,30,1982.88,4.06,18.01,29.44,22.6,29.67,7.66,13.43,8.58,3.05,1.01,2.61,0.28,0.7,6.05,1.49,4.5,0.66,3.82,3.61,0.23,3.13,0.46,HAUL-006
2019-01-06,4,70.58,67.78,353.33,1023.18,242.94,17,1702.59,4.79,17.65,27.46,22.55,42.18,8.6,16.41,17.17,3.27,0.93,2.54,1.19,0.67,6.03,1.73,4.26,1.36,2.89,2.45,0.46,0.83,1.62,HAUL-006
2019-01-07,1,76.44,83.82,579.21,2225.3,240.95,37,1899.84,3.28,17.77,28.15,21.59,24.54,6.85,11.14,6.55,3.51,0.79,1.74,0.26,0.55,6.05,1.36,4.63,0.78,3.84,3.85,0,3.86,0,HAUL-006
2019-01-07,2,75.12,69.04,364.82,1144.27,239.66,19,2144.77,5.82,19.39,33.31,25.03,36.91,6.58,17.9,12.44,3.21,0.74,1.25,0.74,0.64,5.95,1.52,4.48,1.37,3.11,2.58,0.54,0.88,1.71,HAUL-006
2019-01-07,3,74.98,86.28,625.61,2422.32,242.32,40,1744.6,2.77,17.51,22.19,19.81,23.63,5.89,9.44,8.3,2.97,0.81,0.97,0.32,0.81,6.05,1.5,4.5,0.64,3.83,3.67,0.19,3.39,0.29,HAUL-006
2019-01-07,4,81.37,82.72,699.58,2836.06,241.07,47,1718.1,2.44,18.1,23.58,20.37,18.77,5.06,8.13,5.57,2.77,0.49,0.69,0.48,0.62,5.98,1.12,4.88,0.84,4.03,3.57,0.47,2.98,0.6,HAUL-006
2019-01-08,1,85.62,86.35,318.38,1406.25,242.83,23,2028.68,6.33,20.63,29.67,24.51,37.64,6.66,18.24,12.75,3.18,0.8,1.75,0.28,0.65,5.96,0.92,5.09,0.74,4.34,2.87,1.48,0,2.87,HAUL-006
2019-01-08,2,99.28,80.19,383.11,1814.53,240.34,29,1989.14,5.23,17.55,29,21.94,37.77,7.9,17.99,11.87,3.37,0.99,2.31,0.61,0.63,6.02,0.07,5.93,1.2,4.73,4.1,0.63,2.83,1.3,HAUL-006
2019-01-08,3,100.67,83.33,390.12,1962.28,243.26,32,1683.35,4.28,18.82,24.58,21.27,31.99,7.84,13.74,10.4,3.69,0.73,2.4,0.42,0.6,6.01,0,6,1.01,5.02,4.42,0.57,3.35,1.06,HAUL-006
2019-01-08,4,91.73,87.17,380.86,1830.28,242.97,30,1772.06,4.63,17.61,21.37,19.3,35.76,7.46,15.8,12.5,3.12,0.93,2.1,0.72,0.59,5.96,0.52,5.48,0.74,4.77,4.56,0.19,4.19,0.37,HAUL-006
2019-01-09,1,91.6,82.81,345.91,1557.87,249.86,25,1660.41,4.81,17.44,22.3,19.5,36.59,7.08,16.57,12.94,2.68,0.83,1.74,1.36,0.47,6.02,0.55,5.46,0.96,4.53,3.77,0.72,2.03,1.74,HAUL-006
2019-01-09,2,74.03,77.78,384.24,1343.42,242.34,22,2264.37,5.97,19.35,28.97,23.6,40.37,6.72,18.49,15.16,2.85,0.7,1.45,1.07,0.65,5.99,1.53,4.46,0.97,3.47,2.71,0.77,0.6,2.11,HAUL-006
2019-01-09,3,98.25,82.78,312.58,1518.57,243.37,25,1643.16,5.25,17.8,23.23,20.61,43.34,9.08,17.56,16.7,3.63,1.25,2.73,0.79,0.68,5.98,0.08,5.92,1.07,4.88,4.45,0.4,3.47,0.97,HAUL-006
2019-01-09,4,87.49,81.85,407.02,1763.4,240.96,29,1806.65,4.48,17,24.97,20.66,34.82,7.09,15.66,12.08,3.35,0.86,1.99,0.39,0.5,5.99,0.73,5.27,0.98,4.28,4.09,0.2,3.66,0.41,HAUL-006
2019-01-10,1,74.38,65.64,376.66,1102.21,244.92,18,1792.72,4.79,19.13,26.08,22.12,34.67,7.71,15.05,11.9,3.06,0.94,1.62,1.43,0.67,5.98,1.55,4.44,1.5,2.97,2.3,0.64,0.17,2.13,HAUL-006
2019-01-10,2,76.93,84.44,450.57,1750.78,240.4,29,2110.9,4.74,19.23,30.75,23.63,31.55,7.25,14.89,9.41,3.36,0.77,2.12,0.56,0.44,6.02,1.37,4.64,0.75,3.86,2.28,1.61,0,2.28,HAUL-006
2019-01-10,3,100.38,86.05,397.12,2071.88,242.22,34,2116.57,5.32,17.82,32.08,23.09,35.13,6.98,17.8,10.35,3.38,1.01,1.39,0.61,0.59,6.02,0,6,0.83,5.19,5.17,0,5.17,0.01,HAUL-006
2019-01-10,4,100.29,82.6,439.19,2175.57,240.33,36,1971.97,4.53,17.68,27.86,21.98,33.94,7.82,15.37,10.75,3.31,1.11,2.41,0.36,0.62,5.94,0,6,1.05,4.93,4.53,0.42,3.81,0.69,HAUL-006
2019-01-11,1,88.17,74.73,444.69,1791.6,248.2,29,2185.55,4.87,19.88,30.86,24.01,31.83,7.68,14.84,9.31,3.51,0.98,1.74,0.89,0.57,6.02,0.66,5.34,1.33,4.03,3.68,0.33,3.01,0.69,HAUL-006
2019-01-11,2,99.56,66.36,335.41,1328.15,242.94,22,1913.87,5.68,18.73,23.52,20.87,41.69,7.25,18.27,16.17,3.96,0.68,1.4,0.53,0.68,5.98,0,6,2.02,4.01,3.96,0.02,3.94,0.05,HAUL-006
2019-01-11,3,100.18,74.08,364.58,1639.76,243.31,27,1998.45,5.46,19.66,27.04,22.81,36.73,7.93,16.56,12.25,3.18,1.2,2.23,0.58,0.74,6.05,0,6,1.51,4.47,3.55,0.94,1.44,2.09,HAUL-006
2019-01-11,4,99.66,73.11,290.6,1284.53,245.99,18,2113.09,7.17,19.31,23.73,21.31,50.09,9.11,22.31,18.67,3.29,1.04,1.74,2.35,0.68,5.94,0,6,1.58,4.45,2.99,1.43,0,2.99,HAUL-006
2019-01-12,1,99.43,73.92,439.36,1935.88,242.64,32,2816.99,6.4,21.37,25.73,22.86,36,7.36,18.11,10.53,3.51,0.79,2.3,0.23,0.53,5.94,0,6,1.56,4.47,3.9,0.54,2.92,1,HAUL-006
2019-01-12,2,97.66,76.57,351.4,1570.4,240.75,26,1863.08,5.24,18.7,27.63,22.37,37.25,7.53,16.96,12.77,3.31,0.92,2.28,0.29,0.72,5.94,0.2,5.8,1.38,4.4,3.72,0.71,2.05,1.64,HAUL-006
2019-01-12,3,99.01,77.88,352.45,1621.91,241.21,27,2166.16,6.08,18.87,30.15,23.06,38.17,7.7,19.17,11.3,3.55,0.81,2.17,0.43,0.74,6.03,0.11,5.89,1.29,4.62,3.72,0.88,1.77,1.94,HAUL-006
2019-01-12,4,82.45,78.32,395.31,1529.97,244.41,25,2288.86,5.77,20.2,33.39,25.41,36.68,8.76,17.01,10.92,3.71,0.84,2.6,0.94,0.67,6.04,1.08,4.91,1.03,3.9,3.37,0.51,2.15,1.23,HAUL-006
2019-01-13,1,73.44,88.8,341.27,1340.9,243.38,22,1664.31,4.86,17.41,23.87,20.36,39.07,7.57,16.82,14.68,3.1,1.06,2.37,0.46,0.59,6.02,1.65,4.37,0.47,3.88,3.7,0.2,3.18,0.53,HAUL-006
2019-01-13,2,68.58,85.16,326.86,1156.23,242.59,19,1542.38,4.7,16.08,25.51,20.33,42.23,9.67,17.64,14.91,3.39,1.18,3.94,0.36,0.79,5.96,1.85,4.14,0.63,3.51,3.29,0.22,2.61,0.69,HAUL-006
2019-01-13,3,47.74,79.78,402.69,915.01,242.24,15,2077.46,5.16,19.49,32.89,25.33,34.85,6.5,16.02,12.33,3.07,1.14,1.46,0.25,0.57,6.04,3.11,2.86,0.58,2.28,1.58,0.69,0,1.58,HAUL-006
2019-01-13,4,65.04,66.19,400.91,1039.15,244.69,17,2249.64,5.59,18.05,33.07,24.15,39.54,7.55,18.68,13.3,2.75,1.06,2.25,0.79,0.71,5.97,2.1,3.91,1.31,2.6,2.57,0.03,2.46,0.11,HAUL-006
2019-01-14,1,74.31,81.99,416.74,1501.27,241.56,24,2037.89,4.89,17.93,27.59,21.79,35.11,7.45,16.52,11.14,3.26,1,1.88,0.73,0.58,6.05,1.51,4.5,0.84,3.63,3.59,0.07,3.44,0.16,HAUL-006
2019-01-14,2,73.18,63.12,432.02,1179.74,237.32,20,2376.56,5.53,19.37,33.44,24.61,34.78,6.68,17.25,10.85,3.16,0.73,1.55,0.62,0.61,6,1.58,4.42,1.66,2.75,2.54,0.22,1.87,0.66,HAUL-006
2019-01-14,3,73.77,44.07,396.88,774.72,239.35,13,1581.44,3.98,17.96,31.36,23.87,33.82,9.4,13.38,11.05,3.2,1.32,3.81,0.6,0.46,6,1.56,4.43,2.46,1.96,1.29,0.67,0,1.29,HAUL-006
2019-01-14,4,73.03,82.54,370.67,1324.46,241.43,22,1802.14,4.86,18.78,28.08,22.98,36.35,8.03,15.5,12.82,3.26,0.95,1.86,1.37,0.6,6.01,1.6,4.41,0.8,3.59,3.15,0.45,1.9,1.24,HAUL-006
2019-01-15,1,74.35,65.53,448.31,1312.53,240.54,22,2319.96,5.2,18.69,31.38,23.7,34.09,6.92,16.61,10.57,3.51,0.76,1.59,0.49,0.55,5.98,1.5,4.5,1.55,2.94,2.75,0.19,2.23,0.53,HAUL-006
2019-01-15,2,72.75,63.66,326.67,893.69,239.5,15,1783.77,5.44,18.29,21.33,19.81,43.32,8.37,17.85,17.1,3.36,1.04,2.62,0.7,0.65,6.04,1.67,4.33,1.59,2.73,2.54,0.19,1.79,0.77,HAUL-006
2019-01-15,3,59.36,71.16,432.8,1097.88,243.15,18,2368.93,5.52,22.56,26.44,24.16,32.52,6.8,14.8,10.91,3.43,0.65,1.84,0.29,0.59,5.94,2.45,3.58,1.03,2.52,2.23,0.32,1.17,1.06,HAUL-006
2019-01-15,4,42.29,60.03,381.62,588.05,234.73,10,1698.09,4.42,15.61,29.64,21.08,34.35,6.91,16.85,10.59,2.68,1.46,1.81,0.35,0.62,6.03,3.45,2.56,1.03,1.55,1.26,0.28,0,1.26,HAUL-006
2019-01-16,1,80.04,82.85,303.08,1185.93,237.89,20,2031.62,6.7,19.25,29.77,23.5,44.66,9.05,20.89,14.71,4.22,0.89,2.2,0.41,1.33,6.03,1.23,4.78,0.82,3.94,3.95,0,3.96,0.01,HAUL-006
2019-01-16,2,92.33,68.14,415.47,1590.47,242.91,24,2577.73,6.2,20.77,31.81,25.78,38.53,6.28,17.95,14.3,3.39,0.61,1.53,0.21,0.55,5.95,0.43,5.57,1.76,3.85,3.73,0.09,3.5,0.21,HAUL-006
2019-01-16,3,91.58,67.82,343.98,1260.51,241.47,21,2562.17,7.45,23.12,35.14,28.89,41.06,5.35,19.19,16.52,3.14,0.46,0.74,0.34,0.67,5.98,0.53,5.46,1.74,3.74,2.95,0.77,0.76,2.19,HAUL-006
2019-01-16,4,99.01,78.52,375.85,1760.78,245.13,29,2544.7,6.67,22.81,28.56,25.37,39.01,8.38,17.38,13.25,3.25,0.99,2.3,1.28,0.56,6.02,0,6,1.32,4.64,4.15,0.54,3.02,1.11,HAUL-006
2019-01-17,1,89.94,89.14,430.18,2049.63,246.35,33,1981.25,4.67,16.38,28.66,21.01,33.98,6.37,17.16,10.45,2.88,1.1,1.59,0.27,0.54,6.01,0.65,5.35,0.58,4.79,3.64,1.13,1.6,2.05,HAUL-006
2019-01-17,2,92.41,81.07,436.56,1965.94,240.12,33,2107.45,4.77,20.09,34.71,25.12,28.81,7.29,14.2,7.33,2.8,1.11,2.15,0.69,0.54,6.05,0.41,5.59,1.08,4.53,2.84,1.67,0,2.84,HAUL-006
2019-01-17,3,89.66,83.28,423.76,1892.46,246.34,31,1834.93,4.3,18.16,24.25,20.46,30.62,7.32,14.28,9.02,2.95,1.02,0.79,2,0.55,5.97,0.58,5.42,0.93,4.45,3.91,0.58,2.77,1.13,HAUL-006
2019-01-17,4,99.51,81.97,352.42,1759.95,240.56,29,1970.63,5.61,18.69,27.14,22.06,38.51,8.23,18.09,12.18,3.14,1.04,3.08,0.3,0.68,6,0,6,1.07,4.95,4.32,0.61,3.06,1.26,HAUL-006
2019-01-18,1,100.87,85.97,402.24,2081.85,244.39,34,2093.29,5.17,18.71,28.32,22.58,35.21,8.19,16.51,10.51,3.16,1.12,2.98,0.39,0.56,6.02,0,6,0.87,5.17,4.76,0.37,4.11,0.65,HAUL-006
2019-01-18,2,98.82,82.16,351.26,1714.71,245.1,28,1969.6,5.59,18.8,25.17,21.42,37.87,7.93,17.82,12.12,3.16,1.1,2.07,1.04,0.56,6.04,0.08,5.92,1.07,4.88,4.24,0.61,2.97,1.3,HAUL-006
2019-01-18,3,75.79,85.35,381.78,1464.81,245.76,24,2505.09,6.56,22.05,31.09,26.25,40.61,7.93,17.86,14.81,3.34,0.8,2.52,0.74,0.53,6.02,1.42,4.58,0.68,3.93,2.83,1.06,0.17,2.66,HAUL-006
2019-01-18,4,80.8,78.52,393.23,1482.43,246.55,24,2377.68,6.11,20.2,35.36,26.37,37.65,7.51,18.15,11.99,3.07,1.19,2.41,0.3,0.53,5.95,1.18,4.82,1.05,3.78,3.27,0.51,2.01,1.27,HAUL-006
2019-01-19,1,100.9,75.24,290.02,1320.02,240.06,22,1998.29,6.89,19.91,26.49,22.97,46.73,9.23,20.73,16.78,3.61,1.26,3.27,0.5,0.59,5.95,0,6,1.44,4.52,3.49,1.07,0.59,2.91,HAUL-006
2019-01-19,2,87.08,72.21,436.52,1654.46,245.76,27,2380.92,5.4,19.09,27.49,22.31,34.51,6.82,17.1,10.59,3.08,0.8,1.99,0.4,0.55,6.02,0.77,5.23,1.45,3.81,3.48,0.31,2.77,0.69,HAUL-006
2019-01-19,3,99.61,70.05,352.43,1496.64,239.23,25,2728.93,7.73,20.47,32.46,25.03,44.54,7.14,22.8,14.6,3.69,0.64,2.06,0.23,0.51,5.95,0,6,1.79,4.2,4.09,0.12,3.82,0.29,HAUL-006
2019-01-19,4,100.81,71.52,282.44,1213.76,241.31,20,2863.93,10.16,25.09,31.11,27.63,49.96,7.76,24.46,17.74,3.78,0.83,1.99,0.66,0.51,6.01,0,6,1.7,4.27,3.93,0.37,2.79,1.11,HAUL-006
2019-01-20,1,94.21,78.74,307.38,1373.93,239.24,23,1953.55,6.31,19.32,31.84,25.14,47.8,10.7,19.8,17.31,3.15,1.86,4.42,0.65,0.62,5.95,0.32,5.68,1.2,4.45,4,0.47,2.77,1.24,HAUL-006
2019-01-20,2,67.11,40.95,405.48,672.36,245.31,11,1588.91,3.91,18.32,32.92,24.74,30.97,8.43,12.78,9.75,3.16,0.91,3.2,0.37,0.8,6,2,4.01,2.36,1.64,1.57,0.08,1.14,0.43,HAUL-006
2019-01-20,3,83.93,21.46,440.65,469.11,235.34,8,1816.91,4.11,24.37,39.61,30.17,23.65,7.36,10.16,6.12,3.26,0.67,1.87,0.96,0.6,6,0.98,5.03,3.95,1.08,1.01,0.07,0.52,0.49,HAUL-006
2019-01-20,4,97.87,80.1,318.43,1502.31,241.53,25,2264.45,7.06,17.58,31.81,22.76,45.02,6.99,24.17,13.86,3.32,0.98,1.63,0.51,0.54,6.06,0.12,5.89,1.14,4.76,4.45,0.29,3.73,0.69,HAUL-006
2019-01-21,1,99.76,87.58,373.48,1947.74,236.71,33,2495.43,6.63,20.46,29.16,24.18,42.14,8.95,19.28,13.92,3.91,0.82,2.66,0.9,0.66,6.05,0,6,0.77,5.17,4.71,0.51,3.8,0.94,HAUL-006
2019-01-21,2,90.37,83.09,387.57,1760.67,234.21,28,2195.56,5.65,20.35,32.3,25.46,36.32,7.46,16.58,12.28,3.67,1.14,1.87,0.16,0.62,6.01,0.57,5.43,0.94,4.52,4.48,0.01,4.47,0.01,HAUL-006
2019-01-21,3,91.5,51.74,373.43,1075.35,239.58,18,2273.34,6.04,22.23,27.35,25.01,40.48,5.97,16.17,18.34,2.94,0.67,1.39,0.39,0.58,6.01,0.49,5.51,2.63,2.9,2.64,0.23,1.88,0.78,HAUL-006
2019-01-21,4,78.19,74.89,407.93,1446.55,240.95,24,1906.64,4.68,20.04,30.48,24.31,33.19,9.28,14.01,9.91,3.21,1.32,3.57,0.51,0.66,5.99,1.3,4.7,1.18,3.49,3.22,0.3,2.45,0.75,HAUL-006
2019-01-22,1,99.46,84.93,596.36,3018.68,241.25,50,1579.67,2.65,16.53,25.09,20.19,24.24,7.2,9.67,7.38,3.18,0.85,1.34,0.51,1.3,5.96,0,6,0.94,5.04,5.04,0.02,4.97,0.03,HAUL-006
2019-01-22,2,97.98,86.65,482.93,2442.15,242.92,39,2046.42,4.26,19.82,27.87,23.35,29.37,6.72,12.91,9.74,3.31,0.95,1.45,0.34,0.67,6.03,0.12,5.88,0.8,5.09,4.76,0.31,4.3,0.48,HAUL-006
2019-01-22,3,96.52,78.93,302.36,1396.19,244.72,22,2253.11,7.34,19.38,30.34,23.87,46.61,8.44,22.7,15.47,3.01,1.17,3,0.71,0.55,6.01,0.18,5.83,1.2,4.61,3.99,0.63,2.27,1.72,HAUL-006
2019-01-22,4,72.36,77.41,350.13,1179.54,237.07,20,2107.18,6,20.14,21.42,20.57,42.1,8.99,18.01,15.1,4.06,1.16,2.05,1.07,0.65,6.04,1.65,4.36,0.96,3.41,3.21,0.2,2.59,0.6,HAUL-006
2019-01-23,1,67.69,74.05,327.46,979.16,243.77,16,1887.35,5.7,18.14,27.52,22.36,43.96,9.66,18.75,15.56,3.25,0.8,3.23,1.6,0.78,6.03,1.96,4.04,1.07,2.97,2.7,0.27,1.71,1.01,HAUL-006
2019-01-23,2,73.11,85.34,400.14,1458.18,244.45,24,2007.7,5.03,17.44,29.13,22.31,37.14,7.18,17.36,12.61,3.52,0.94,1.58,0.48,0.66,5.98,1.63,4.35,0.67,3.66,3.6,0.08,3.39,0.2,HAUL-006
2019-01-23,3,75.43,73.07,423.52,1401.29,242.55,23,2852.86,6.76,21.85,33.15,26.63,38.66,6.38,18.63,13.65,3.64,0.58,1.04,0.57,0.55,5.94,1.5,4.5,1.18,3.31,2.65,0.67,0.9,1.75,HAUL-006
2019-01-23,4,74.4,86.36,349.79,1350.83,244.51,21,2355.49,6.73,20.79,32.77,26.67,46.19,7.33,19.54,19.31,3.01,0.8,2.22,0.9,0.41,6.01,1.49,4.5,0.63,3.86,3.54,0.33,2.56,0.95,HAUL-006
2019-01-24,1,74.13,84.38,392.47,1466.83,245.44,24,2951.19,7.55,22.35,29.05,25.38,43.83,9.03,20.09,14.71,2.98,1.05,4.38,0.2,0.42,6.02,1.53,4.47,0.71,3.72,3.42,0.34,2.59,0.85,HAUL-006
2019-01-24,2,64.35,80.54,492.27,1534.14,245.52,25,1896.6,3.87,18.57,25.91,21.61,28.29,6.81,12.57,8.91,3.16,0.76,2.01,0.31,0.57,6,2.19,3.83,0.72,3.13,2.6,0.52,1.37,1.24,HAUL-006
2019-01-24,3,65.81,87.46,494.51,1708.93,245.72,28,1908.5,3.87,17.89,31.05,23.21,29.35,7.86,12.95,8.54,3.38,1.16,1.86,0.87,0.59,5.98,2.02,3.97,0.52,3.47,2.65,0.8,0.93,1.72,HAUL-006
2019-01-24,4,50.32,83.46,445.12,1095.19,243.31,18,1978.35,4.52,18.07,29.01,22.25,31.3,7.8,14.91,8.59,3.1,1.11,1.58,1.34,0.66,6.05,2.97,3,0.52,2.48,2.23,0.25,1.38,0.84,HAUL-006
2019-01-25,1,49.87,84.82,469.61,1179.01,250.12,19,1877.05,3.99,17.26,26.27,21.05,31.56,6.71,13.97,10.87,2.72,1.25,1.91,0.29,0.56,5.97,2.99,3,0.48,2.52,2.12,0.4,0.87,1.26,HAUL-006
2019-01-25,2,44.79,78.65,363.01,776.79,237.54,13,1956.12,5.39,17.83,30.78,23.33,38.94,8.04,17.99,12.91,3.19,1.3,2.47,0.48,0.59,5.94,3.32,2.7,0.56,2.15,2.04,0.1,1.58,0.46,HAUL-006
2019-01-25,3,47.73,65.52,287.89,536.5,239.3,9,2477.68,8.62,23.92,39.68,30.01,42.03,7.46,21.48,13.09,5.17,0.54,0.7,0.44,0.61,6.01,3.14,2.84,0.97,1.86,1.66,0.21,0.26,1.4,HAUL-006
2019-01-25,4,50.43,77.55,489.35,1131.14,239.08,19,1663.11,3.39,16.35,26.82,20.88,30.63,8.63,12.53,9.47,3.19,1.1,2.84,0.76,0.75,6.04,2.99,3,0.68,2.32,2.22,0.1,1.9,0.31,HAUL-006
2019-01-26,1,49.75,81.44,454.42,1097.34,243.39,18,2307.61,5.11,19.53,31.72,24.09,30.78,5.32,15.78,9.68,2.66,0.74,1.24,0.19,0.49,5.99,3.03,2.96,0.53,2.43,2.09,0.35,0.92,1.16,HAUL-006
2019-01-26,2,34.59,64.22,458.88,616.19,246.77,10,2163.23,4.72,18.86,37.56,25.1,28.63,5.72,15.1,7.8,3.29,0.56,0.97,0.38,0.52,5.94,3.95,2.07,0.74,1.34,1.33,0,1.34,0,HAUL-006
2019-01-26,3,45.38,81.52,432.98,962.17,241.56,16,1793.22,4.2,16.29,33.16,22.9,31.16,5.81,15.44,9.92,3.18,0.83,0.85,0.2,0.73,5.95,3.25,2.74,0.49,2.26,1.98,0.27,0.95,1.03,HAUL-006
2019-01-26,4,48.26,87.14,339.88,854.99,244.32,14,2337.65,6.84,19.64,33.21,25.17,42.33,7.02,20.9,14.41,3.4,0.92,1.98,0.31,0.4,5.96,3.1,2.92,0.4,2.51,2.4,0.12,1.85,0.54,HAUL-006
