data,turno,periodo_climatico,DF,UF,produtividade_ht,massa_carregada,carga_media,num_ciclos,tmc,tempo_manobra,HC,HM,HD,HO,HT,HTP,HTNP,HEF,HAO,id_equipamento
2019-01-06,4,Chuvoso,37.56,40.13,2043.83,1850.28,84.48,22,3.91,0.95,5.98,3.74,2.26,1.36,0.91,0.89,0.02,0.83,0.06,ESC-01
2019-01-07,1,Chuvoso,66.38,10.03,3200.79,1265.62,79.57,16,3.33,0.97,6.03,2.01,4,3.6,0.4,0.4,0,0.4,0,ESC-01
2019-01-07,2,Chuvoso,66.21,42.94,1824.2,3086.4,81.93,38,3.06,0.67,6.01,2.01,4,2.3,1.71,0.83,0.88,-0.56,1.39,ESC-01
2019-01-07,3,Chuvoso,66.77,46.87,1960.46,3717.13,80.94,46,3.49,1.08,6,2,4,2.12,1.9,0.02,1.87,-2.43,2.44,ESC-01
2019-01-07,4,Chuvoso,66.26,44.62,1949.85,3392.05,79.56,43,3.84,1.17,5.98,2.01,4,2.23,1.75,1.27,0.5,0.57,0.7,ESC-01
2019-01-08,1,Chuvoso,67.2,49.02,1930.4,3780.43,80.41,47,3.98,0.96,5.99,1.99,4,2.04,1.95,1.73,0.23,1.44,0.29,ESC-01
2019-01-08,2,Chuvoso,66.33,31.33,2214.67,2740.04,80.75,34,3.9,1.14,6.01,2.02,4,2.76,1.23,1.16,0.08,1.02,0.14,ESC-01
2019-01-08,3,Chuvoso,66.14,67.72,1733.34,4623,80.45,58,4.24,1.12,6.04,1.99,4,1.3,2.7,1.32,1.38,-0.1,1.43,ESC-01
2019-01-08,4,Chuvoso,60.12,62.4,2324.3,5180.17,81.26,64,3.47,0.97,5.98,2.39,3.61,1.35,2.28,1.89,0.37,1.54,0.34,ESC-01
2019-01-09,1,Chuvoso,66.33,78.71,2098.7,6575.76,80.84,82,3.1,1,5.99,2.02,4,0.83,3.2,1.87,1.3,0.93,0.95,ESC-01
2019-01-09,2,Chuvoso,66.8,78.16,1740.2,5460.73,80.93,67,4.29,0.99,6.04,2.02,4,0.89,3.11,2.54,0.57,2.04,0.51,ESC-01
2019-01-09,3,Chuvoso,66.34,43.59,1796.42,3081.44,79.4,39,4.53,1.01,5.95,2.02,4,2.26,1.72,1.62,0.12,1.42,0.18,ESC-01
2019-01-09,4,Chuvoso,66.29,35.82,2473.55,3567.55,79.07,45,3.7,1.06,6.02,1.99,4,2.57,1.44,1.43,0,1.44,0,ESC-01
2019-01-10,1,Chuvoso,66.3,46.19,2345.21,4298.89,81.87,53,3.38,0.99,6.03,1.98,4,2.14,1.86,1.84,0.03,1.8,0.03,ESC-01
2019-01-10,2,Chuvoso,50.15,92.67,2097.96,5836.67,81.6,72,3.32,0.6,5.98,2.98,3.03,0.24,2.82,1.08,1.72,-0.35,1.43,ESC-01
2019-01-10,3,Chuvoso,66.27,47.13,1946.62,3705.93,79.09,47,4.5,0.97,6.03,1.99,4,2.1,1.91,1.85,0.05,1.8,0.06,ESC-01
2019-01-10,4,Chuvoso,66.93,85.83,2183.36,7343.31,80.05,92,3.92,1.11,5.97,1.99,4,0.6,3.4,3.35,0.05,3.3,0.04,ESC-01
2019-01-11,1,Chuvoso,35.14,87.44,1818.83,3322.63,79.73,42,5.23,1.29,6.04,3.92,2.12,0.28,1.83,1.71,0.13,1.53,0.18,ESC-01
2019-01-11,2,Chuvoso,33.5,87.52,1679.65,2952.05,79.09,37,4.61,1.08,6.02,4.04,2,0.25,1.76,0.95,0.8,-0.35,1.3,ESC-01
2019-01-11,3,Chuvoso,33.33,62.2,947.17,1185.12,78.88,15,5.07,0.8,6.05,4.02,2,0.75,1.24,-0.2,1.45,-6.06,5.8,ESC-01
2019-01-11,4,Chuvoso,57.21,49.64,670.08,1130.3,80.47,14,3.88,0.68,6.01,2.59,3.42,1.73,1.7,-1.33,3.02,-14.26,12.94,ESC-01
2019-01-12,1,Chuvoso,33.41,54.36,820.04,891.59,80.39,11,3.68,0.95,5.98,3.97,2,0.92,1.09,-1.43,2.51,-15.2,13.71,ESC-01
2019-01-12,4,Chuvoso,33.08,23.39,510.76,236.31,79.33,3,4.35,0.29,6.03,4.04,2,1.53,0.47,-0.23,0.7,-14.41,14.06,ESC-01
2019-01-13,1,Chuvoso,33.02,85.27,1981.72,3359.48,79.83,42,3.58,1.09,6.01,3.97,2,0.3,1.71,0.99,0.7,-0.01,1,ESC-01
2019-01-13,2,Chuvoso,33.6,69.44,1922.09,2713.94,81.91,33,3.45,0.95,6.04,3.96,2,0.6,1.39,0.73,0.67,-0.5,1.22,ESC-01
2019-01-13,3,Chuvoso,33.06,88.21,2026.65,3570.9,83.84,43,3.36,0.82,5.97,3.97,2,0.23,1.77,0.97,0.8,-0.14,1.11,ESC-01
2019-01-13,4,Chuvoso,33.1,15.64,1021.57,317.48,78.92,4,3.26,0.74,6.06,4,2,1.69,0.31,0.1,0.21,-3.05,3.16,ESC-01
2019-01-14,1,Chuvoso,33.1,89.63,2320.52,4180.38,82.15,51,3.11,0.97,5.95,3.99,2,0.21,1.78,1.6,0.19,1.37,0.22,ESC-01
2019-01-14,2,Chuvoso,33.34,54.66,1964.91,2173.42,80.66,27,3.56,0.81,6.01,3.99,2,0.9,1.09,0.66,0.43,-0.3,0.96,ESC-01
2019-01-14,3,Chuvoso,29.3,77.42,2234.05,3066.02,80.02,38,3.24,0.94,6.05,4.2,1.77,0.4,1.35,0.97,0.39,0.35,0.62,ESC-01
2019-01-14,4,Chuvoso,33.5,70.85,2613.93,3750.31,80.2,47,3.16,1.04,5.97,4,2,0.57,1.42,1.43,0,1.42,0,ESC-01
2019-01-15,1,Chuvoso,33.13,52.24,2452.33,2505.99,78.72,32,3.44,0.94,5.94,3.98,2,0.96,1.03,0.8,0.24,0.35,0.45,ESC-01
2019-01-15,2,Chuvoso,28.38,57.78,2210.69,2175.57,81.31,27,3.62,1.02,6.03,4.28,1.7,0.72,1,0.95,0.03,0.88,0.08,ESC-01
2019-01-15,3,Chuvoso,15.89,77.07,1890.24,1390.79,77.28,18,3.1,1.04,5.95,5.01,0.96,0.22,0.73,0.49,0.25,-0.33,0.82,ESC-01
2019-01-15,4,Chuvoso,33.28,94.57,2376.52,4497.22,80.07,56,3.66,1.06,5.97,3.99,2,0.1,1.89,1.81,0.09,1.71,0.1,ESC-01
2019-01-16,1,Chuvoso,33.23,96.76,2072.6,3959.1,79.73,50,3.77,1.1,5.98,3.97,2,0.06,1.94,1.46,0.48,0.88,0.58,ESC-01
2019-01-16,2,Chuvoso,33.62,93.19,1686.5,3135,80.17,39,3.49,0.7,6.04,3.98,2,0.13,1.86,0.82,1.05,-0.79,1.61,ESC-01
2019-01-16,3,Chuvoso,33.5,90.48,2352.65,4248.73,80.97,53,3.61,0.59,6.01,4.01,2,0.18,1.82,1.73,0.09,1.64,0.1,ESC-01
2019-01-16,4,Chuvoso,33.28,90.76,2142.43,3876.34,79.48,49,3.54,1.18,5.96,3.99,2,0.18,1.81,1.59,0.23,1.3,0.28,ESC-01
2019-01-17,1,Chuvoso,33.03,81.72,2068.85,3336.06,79.64,42,3.51,1.19,5.96,4.04,2,0.37,1.64,0.9,0.73,-0.14,1.04,ESC-01
2019-01-17,2,Chuvoso,33.25,91.66,1891.71,3506.62,79.49,44,3.91,1.18,6.01,4.02,2,0.16,1.83,1.69,0.15,1.49,0.21,ESC-01
2019-01-17,3,Chuvoso,18.79,71.79,2174.36,1757.95,80.45,22,3.72,1.21,6,4.89,1.14,0.32,0.81,0.61,0.21,0.04,0.57,ESC-01
2019-01-17,4,Chuvoso,33.4,86.62,2300.65,4011.27,78,51,3.16,0.8,6.03,3.96,2,0.25,1.75,1.18,0.57,0.51,0.67,ESC-01
2019-01-18,1,Chuvoso,33.59,87.77,2512.31,4365.39,80.69,54,3.33,1.21,6,4.01,2,0.25,1.75,1.6,0.15,1.43,0.17,ESC-01
2019-01-18,2,Chuvoso,33.27,89.73,2147.9,3845.11,80.79,48,3.65,1.06,5.95,4.02,2,0.21,1.78,1.26,0.53,0.59,0.66,ESC-01
2019-01-18,3,Chuvoso,33.31,76.62,1953.47,2938.25,79.9,37,3.82,1.08,6.03,3.98,2,0.47,1.54,0.98,0.54,0.1,0.88,ESC-01
2019-01-18,4,Chuvoso,33.26,83.74,2298.55,3815.41,80.2,48,3.91,0.8,6.01,4.02,2,0.31,1.67,1.69,0,1.7,0,ESC-01
2019-01-19,1,Chuvoso,33.44,81.24,2273.98,3777.52,79.85,47,3.76,1.17,6.04,3.98,2,0.37,1.65,1.32,0.32,0.91,0.41,ESC-01
2019-01-19,2,Chuvoso,33.38,80.26,2285.1,3738.7,80.61,46,3.8,0.9,5.95,3.96,2,0.39,1.6,1.28,0.33,0.85,0.43,ESC-01
2019-01-19,3,Chuvoso,33.01,78.02,2117.56,3281.55,80.28,41,4.46,0.93,5.98,4.03,2,0.44,1.57,1.3,0.26,0.91,0.39,ESC-01
2019-01-19,4,Chuvoso,33.22,93.52,1888.51,3586.84,81.61,44,3.48,1.06,5.99,3.97,2,0.11,1.88,0.9,0.99,-0.46,1.35,ESC-01
2019-01-20,1,Chuvoso,33.43,53.22,2380.3,2553.35,80.06,32,3.55,0.86,6.05,3.99,2,0.93,1.08,0.72,0.35,0.07,0.65,ESC-01
2019-01-20,2,Chuvoso,8.82,68.96,3074.17,1111.45,85.86,13,4.28,0.65,5.94,5.5,0.53,0.16,0.36,0.36,0,0.36,0,ESC-01
2019-01-20,3,Chuvoso,33.53,85.15,1897.85,3257.44,79.34,41,3.1,0.98,6.06,3.97,2,0.29,1.71,1.01,0.7,-0.01,1.02,ESC-01
2019-01-20,4,Chuvoso,18,83.96,1773.39,1633.55,81.93,20,2.58,0.52,6.01,4.91,1.08,0.17,0.92,0.04,0.88,-2.59,2.63,ESC-01
2019-01-21,1,Chuvoso,33.41,92.23,1833.54,3361.34,78.04,43,4.09,0.69,5.95,4.02,2,0.16,1.84,1.32,0.51,0.61,0.72,ESC-01
2019-01-21,2,Chuvoso,33.11,91.28,2179.71,4057.68,80.81,50,3.31,1.02,6.02,3.98,2,0.16,1.85,1.36,0.48,0.78,0.58,ESC-01
2019-01-21,3,Chuvoso,33.21,71.13,2365.11,3417.24,82.76,41,3.08,1.04,5.98,3.99,2,0.57,1.44,1.38,0.05,1.3,0.07,ESC-01
2019-01-21,4,Chuvoso,39.66,74.31,1863.68,3308.7,80.69,41,4.01,1.14,6.02,3.64,2.36,0.59,1.75,1.76,0,1.76,0,ESC-01
2019-01-22,1,Chuvoso,67.29,53.61,2215.57,4666.59,79.31,59,3.53,1,5.94,1.99,4,1.88,2.11,1.85,0.27,1.57,0.27,ESC-01
2019-01-22,2,Chuvoso,67.23,89.52,1785.69,6498.47,83.44,78,3.84,0.93,6.01,2,4,0.39,3.61,2.9,0.71,2.37,0.55,ESC-01
2019-01-22,3,Chuvoso,67.14,70.68,2344.19,6505.01,82.69,79,3.3,0.98,6.03,1.98,4,1.19,2.81,2.09,0.71,1.57,0.54,ESC-01
2019-01-22,4,Chuvoso,67.08,75.47,2199.7,6637.53,80.27,83,3.9,0.98,6.06,2.02,4,0.96,3.01,3.01,0.03,2.98,0.02,ESC-01
2019-01-23,1,Chuvoso,56.85,91.86,1855.34,5698.82,81.24,70,3.54,0.97,6,2.61,3.39,0.3,3.09,3.09,0,3.08,0,ESC-01
2019-01-23,2,Chuvoso,58.88,86.51,1927.79,5896.15,82.29,72,3.72,1.09,5.99,2.46,3.54,0.46,3.06,2.52,0.57,2.06,0.47,ESC-01
2019-01-23,3,Chuvoso,66.6,84.13,2113.33,7066.89,80.45,88,4.02,0.65,5.98,2.02,4,0.64,3.37,3.25,0.11,3.16,0.07,ESC-01
2019-01-23,4,Chuvoso,61.59,84.57,2081.01,6673.78,81.67,81,3.87,0.88,6.04,2.27,3.72,0.54,3.17,2.68,0.5,2.32,0.37,ESC-01
2019-01-24,1,Chuvoso,55.58,67.87,1614.62,3650.88,80.67,45,3.78,1.66,6.05,2.7,3.32,1.05,2.29,1.85,0.42,1.29,0.56,ESC-01
2019-01-24,2,Chuvoso,37.48,85.39,1712.97,3321.25,80.37,41,5.33,0.89,6.04,3.79,2.24,0.32,1.91,1.19,0.73,0.12,1.07,ESC-01
2019-01-24,3,Chuvoso,66.47,88.9,2055.92,7247.76,80.14,91,3.73,0.88,5.95,1.98,4,0.45,3.52,3,0.55,2.65,0.36,ESC-01
2019-01-24,4,Chuvoso,66.87,92.09,1516.63,5642.06,82.02,69,3.59,0.84,6.04,1.99,4,0.3,3.7,-0.04,3.74,-3.28,3.25,ESC-01
2019-01-25,1,Chuvoso,67.29,60.37,1267.19,3048.35,79.98,38,4.77,1.51,5.97,1.99,4,1.6,2.39,1.18,1.22,-0.74,1.93,ESC-01
2019-01-25,2,Chuvoso,54.25,59.48,1768.73,3379.26,81.07,42,4.74,1.24,5.94,2.75,3.26,1.34,1.91,1.24,0.68,0.26,0.98,ESC-01
2019-01-25,4,Chuvoso,53.41,29.22,1681.46,1556.28,77.27,20,4.37,0.96,5.95,2.8,3.18,2.26,0.92,0.92,0,0.93,0,ESC-01
2019-01-26,1,Chuvoso,67.32,60.09,1989.26,4755.07,80.84,59,4.51,0.94,5.94,2.02,4,1.62,2.36,2.12,0.26,1.86,0.27,ESC-01
2019-01-26,2,Chuvoso,66.29,70.2,1731.61,4832.39,79.56,61,3.8,1,5.98,2.01,4,1.18,2.8,1.51,1.31,0.22,1.29,ESC-01
2019-01-26,3,Chuvoso,66,50.62,1579.2,3173.25,79.59,40,4.03,0.92,6.02,1.99,4,1.99,2.02,1.86,0.15,1.63,0.23,ESC-01
2019-01-26,4,Chuvoso,66.97,94.16,2031.48,7603.42,81.48,93,4.04,0.94,6.02,1.98,4,0.27,3.7,3.22,0.51,2.91,0.33,ESC-01
2019-01-27,1,Chuvoso,67.17,71.11,2186.54,6201.7,82.41,76,2.85,0.9,5.98,1.98,4,1.16,2.84,0.7,2.14,-1,1.69,ESC-01
2019-01-27,2,Chuvoso,54.43,96.2,1876.27,5750.39,81.45,71,4.27,0.98,5.99,2.77,3.24,0.14,3.09,2.52,0.58,2.01,0.49,ESC-01
2019-01-27,3,Chuvoso,21.81,95.74,1735.72,2179.82,81.05,27,5.41,1.05,5.96,4.66,1.31,0.05,1.27,1.11,0.15,0.76,0.34,ESC-01
2019-01-28,2,Chuvoso,9.28,49.76,1128.1,316.08,78.48,4,6.53,1.39,5.97,5.48,0.55,0.28,0.28,0.28,0,0.27,0,ESC-01
2019-01-28,3,Chuvoso,59.79,43.14,1729.31,2647.43,82.17,32,5.33,0.83,6.06,2.43,3.58,2.05,1.53,1.18,0.34,0.54,0.65,ESC-01
2019-01-28,4,Chuvoso,45.24,37.68,1516.75,1543.27,81.52,19,4.78,1.08,5.97,3.32,2.71,1.7,1.01,0.28,0.74,-2.04,2.33,ESC-01
2019-01-29,1,Chuvoso,61.85,76.09,2145.01,6131.93,82.23,75,3.11,0.89,6,2.28,3.72,0.87,2.84,2.24,0.6,1.75,0.48,ESC-01
2019-01-29,2,Chuvoso,67.29,75.05,2057.24,6262.24,80.81,77,3.64,0.99,6.03,2.01,4,0.98,3.02,2.07,0.94,1.34,0.73,ESC-01
2019-01-29,3,Chuvoso,66.58,39.78,2414.36,3811.82,81.14,47,3.78,0.6,5.98,2.01,4,2.42,1.59,1.47,0.12,1.32,0.15,ESC-01
2019-01-29,4,Chuvoso,66.79,60.59,1873.06,4532.17,80.42,56,3.66,1.09,6.02,2.01,4,1.6,2.41,1.68,0.72,0.92,0.77,ESC-01
2019-01-30,1,Chuvoso,59.83,71.68,2113.66,5454.64,79.84,69,3.65,0.97,6.03,2.4,3.61,1,2.62,2.02,0.6,1.51,0.52,ESC-01
2019-01-30,2,Chuvoso,66.98,56.33,2031.61,4570.42,81.87,56,3.79,1.12,5.99,2,4,1.75,2.26,1.87,0.38,1.47,0.41,ESC-01
2019-01-30,3,Chuvoso,67.15,55.46,2371.65,5254.95,92.86,57,3.57,1.06,6.04,2.01,4,1.77,2.24,1.7,0.53,1.14,0.56,ESC-01
2019-01-30,4,Chuvoso,50.98,88.5,1980.54,5387.36,83.27,65,3.7,1.1,6.05,2.91,3.07,0.36,2.72,2.53,0.18,2.36,0.17,ESC-01
2019-01-31,1,Chuvoso,66.34,80.53,2372.33,7553.84,81.4,93,3.56,0.98,6.04,2.01,4,0.81,3.16,2.88,0.31,2.66,0.2,ESC-01
2019-01-31,2,Chuvoso,67.24,90.43,1639.05,5942.71,79.75,74,3.38,0.82,5.96,1.99,4,0.4,3.6,-0.16,3.76,-3.2,3.05,ESC-01
2019-01-31,3,Chuvoso,48.45,80.27,2484.55,5962.28,82.31,72,3.08,0.63,6,3.04,2.93,0.56,2.36,2.17,0.2,2.01,0.17,ESC-01
2019-01-31,4,Chuvoso,66.99,87.33,2045.77,7173.31,82.14,88,3.87,1.05,5.96,2.01,4,0.48,3.5,2.72,0.79,2.16,0.54,ESC-01
2019-02-01,1,Chuvoso,60.6,89.79,1628.47,5342.57,79.51,67,4.69,1.21,6,2.38,3.63,0.39,3.22,2.34,0.9,1.53,0.8,ESC-01
2019-02-01,2,Chuvoso,19.94,69.42,1098.86,912.36,75.65,12,6.17,0.98,6.05,4.79,1.21,0.38,0.84,-0.2,1.03,-5.35,5.14,ESC-01
2019-02-01,4,Chuvoso,33.43,45.58,1345.91,1198.4,80.6,15,5.78,1.03,6.04,4.02,2,1.1,0.9,0.74,0.17,0.08,0.66,ESC-01
2019-02-02,1,Chuvoso,33.49,93.62,2226.18,4226.35,82.29,51,3.48,1.22,6.02,4.03,2,0.13,1.88,1.52,0.35,1.12,0.41,ESC-01
2019-02-02,2,Chuvoso,33.49,86.6,2183.37,3749.39,82.02,46,3.86,1.17,5.97,4.03,2,0.26,1.73,1.33,0.41,0.78,0.54,ESC-01
2019-02-02,3,Chuvoso,33.46,88.59,1459.38,2605.1,80.83,32,5.55,0.87,5.97,3.96,2,0.23,1.79,1.12,0.65,-0.09,1.22,ESC-01
2019-02-02,4,Chuvoso,33.06,53.96,1775.25,1914.23,80.17,24,4.47,1.01,6.01,3.98,2,0.91,1.09,0.8,0.29,0.07,0.73,ESC-01
2019-02-03,1,Chuvoso,33.14,30.02,2024.27,1228.53,81.2,15,3.63,1.11,5.95,4.02,2,1.4,0.61,0.29,0.32,-0.98,1.27,ESC-01
2019-02-03,2,Chuvoso,8.1,68.95,1733.97,574.79,82.71,7,4.36,0.97,6.04,5.55,0.48,0.15,0.33,0.29,0.04,-0.05,0.34,ESC-01
2019-02-04,1,Chuvoso,33.33,37.38,1711.86,1285.59,79.69,16,3.1,0.63,6,4,2,1.25,0.75,0.26,0.49,-1.59,1.84,ESC-01
2019-02-04,2,Chuvoso,33.62,67.55,2238.78,2993.91,81.33,37,3.66,1.06,5.96,4,2,0.65,1.35,1.25,0.1,1.08,0.16,ESC-01
2019-02-04,3,Chuvoso,33.04,83.87,2203.42,3673.28,83.15,44,3.28,1.13,5.97,4.01,2,0.33,1.66,1.18,0.5,0.5,0.68,ESC-01
2019-02-04,4,Chuvoso,33.17,90.66,2582.3,4666.12,85.44,55,3.42,1.14,6.03,3.96,2,0.18,1.84,1.74,0.07,1.65,0.08,ESC-01
2019-02-05,1,Chuvoso,33.28,91.13,1655.27,3054.68,81.93,37,3.75,0.8,5.98,3.98,2,0.18,1.83,0.82,1,-0.8,1.62,ESC-01
2019-02-05,2,Chuvoso,33.31,78.36,2035.03,3245.46,81.04,40,3.26,1.14,6,3.99,2,0.42,1.58,0.78,0.8,-0.42,1.2,ESC-01
2019-02-05,4,Chuvoso,33.05,45.09,1560.7,1397.33,82.24,17,4.97,1.7,6.06,3.97,2,1.1,0.9,0.85,0.05,0.67,0.17,ESC-01
2019-02-06,1,Chuvoso,33.53,87.42,2092.46,3657.65,87.92,42,3.2,1.1,6.01,4.01,2,0.24,1.76,1.22,0.54,0.45,0.77,ESC-01
2019-02-06,2,Chuvoso,33.65,14.59,5127.36,1490.88,83.6,18,2,0.6,6,4.03,2,1.71,0.29,0.18,0.11,-0.17,0.36,ESC-01
2019-02-06,3,Chuvoso,43.31,18.05,547.42,252.07,84.28,3,7.48,1.63,5.97,3.46,2.57,2.11,0.46,0.08,0.38,-7.65,7.68,ESC-01
2019-02-06,4,Chuvoso,60.92,27.93,2385.9,2469.54,84.62,29,3.82,0.93,5.97,2.31,3.67,2.65,1.03,1.02,0,1.02,0,ESC-01
2019-02-07,1,Chuvoso,66.23,40.87,2954.52,4788.03,82.72,58,2.01,0.69,5.97,1.99,4,2.37,1.64,1.51,0.12,1.38,0.13,ESC-01
2019-02-07,2,Chuvoso,67.01,18.6,2951.4,2173.93,80.63,27,2.19,0.49,5.94,1.99,4,3.26,0.74,0.65,0.1,0.43,0.21,ESC-01
2019-02-07,3,Chuvoso,66.17,7.77,3152.8,965.99,80.65,12,2.54,0.72,6.05,2,4,3.69,0.31,0.31,0,0.31,0,ESC-01
2019-02-07,4,Chuvoso,67.01,14.05,3311.53,1869.99,81.46,23,2.43,0.74,5.95,2,4,3.43,0.57,0.57,0,0.57,0,ESC-01
2019-02-08,1,Chuvoso,66.45,43.73,2980.21,5139.38,81.5,63,2.32,0.99,5.95,2,4,2.26,1.74,1.59,0.15,1.44,0.14,ESC-01
2019-02-08,2,Chuvoso,66.58,38.12,2941.58,4471.04,80.67,55,2.4,0.84,6.03,1.99,4,2.48,1.52,1.33,0.19,1.13,0.2,ESC-01
2019-02-08,3,Chuvoso,67.04,46.57,3027.78,5662.59,82.62,68,2.25,0.8,6.06,1.99,4,2.15,1.84,1.67,0.18,1.49,0.16,ESC-01
2019-02-08,4,Chuvoso,67,43.53,3538.3,6165.51,81.86,76,1.94,0.97,5.95,2.01,4,2.24,1.77,1.41,0.34,1.14,0.27,ESC-01
2019-02-09,1,Chuvoso,66.58,46.56,2771.35,5077.82,80.76,63,2.59,0.99,5.98,1.98,4,2.15,1.83,1.47,0.38,1.12,0.36,ESC-01
2019-02-09,2,Chuvoso,67.15,39.12,2293.46,3644.83,84.26,43,2.99,1.05,5.99,2.02,4,2.43,1.58,0.92,0.66,-0,0.92,ESC-01
2019-02-09,3,Chuvoso,46.86,64.28,2161.91,3853,82.73,47,3.35,1.12,5.94,3.19,2.84,1.02,1.8,1.71,0.1,1.58,0.13,ESC-01
2019-02-09,4,Chuvoso,18.5,92.39,3256.35,3350.85,81.92,41,2.1,0.89,5.98,4.92,1.1,0.08,1.03,0.76,0.27,0.38,0.39,ESC-01
2019-02-10,2,Chuvoso,7.19,79.86,3329.67,1141.56,81.53,14,2.13,1.23,6.05,5.57,0.43,0.09,0.34,0.27,0.08,-0.06,0.33,ESC-01
2019-02-10,3,Chuvoso,56.42,35.57,1283.22,1533.54,77.21,20,3.8,0.81,6.03,2.63,3.38,2.18,1.2,1.19,0,1.2,0,ESC-01
2019-02-10,4,Chuvoso,66.84,64.84,1941.79,5048.34,80.85,63,3.37,0.91,5.95,1.99,4,1.4,2.59,1.79,0.82,1.01,0.78,ESC-01
2019-02-11,1,Chuvoso,67.21,80.2,2551.43,8199.8,84.9,96,3.4,1.03,6.01,2,4,0.78,3.23,3.13,0.09,3.04,0.06,ESC-01
2019-02-11,2,Chuvoso,57.69,70.2,2552.63,6276.5,81.11,77,3.02,1.3,6,2.56,3.45,1.02,2.45,2.15,0.28,1.92,0.22,ESC-01
2019-02-11,3,Chuvoso,66.36,67.79,2652.2,7191.89,80.36,89,3.2,1.18,5.98,1.99,4,1.28,2.73,2.45,0.27,2.28,0.18,ESC-01
