data,frota,DF,UF,MTBF,MTTR,num_falhas,produtividade_h,producao_total,HC,HM,HMC,HMP,HT,HEF,id_equipamento
2023-12-01,Cat 793D,84.32,75.41,59.24,3.79,8,304.99,140534.32,743.99,116.49,30.08,86.42,472.14,463.76,HAUL-0030
2024-01-01,Cat 793D,81.29,69.08,68.92,4.99,6,341.55,140769.27,743.99,136.29,29.62,106.3,416.42,412.48,HAUL-0030
2024-02-01,Cat 793D,86.8,68.76,99.66,6,4,303.8,118938.51,671.99,93.84,24,69.84,397.88,392.79,HAUL-0030
2024-03-01,Cat 793D,71.8,77.71,46.51,13.11,9,286.14,117503.18,743.99,205.07,112.26,87.85,421.46,412.47,HAUL-0030
2024-04-01,Cat 793D,84.31,80.58,54.33,6.36,9,291.96,139500.8,719.99,116.63,57.04,59.59,486.25,476.47,HAUL-0030
2024-05-01,Cat 793D,84.59,75.34,43.24,3.62,11,319,149167.5,743.99,109.82,38.68,70.08,474.86,469.36,HAUL-0030
2019-08-01,Cat 793D,80.58,87.17,65.7,2.55,8,357.51,182520.88,744,146.91,20.22,126.69,520.72,514.66,HAUL-0031
2019-09-01,Cat 793D,82.05,89.55,106.72,4.07,5,325.88,173937.08,720,123.45,20.2,103.25,535.43,531.85,HAUL-0031
2019-10-01,Cat 793D,74.71,88.54,21.1,5.4,23,285.8,138677.71,744,188.96,124.1,64.85,488.13,485.36,HAUL-0031
2019-11-01,Cat 793D,93.64,85.63,51.73,1.5,11,242.97,138164.67,720,49.99,16.45,33.53,574.22,571.04,HAUL-0031
2019-12-01,Cat 793D,87.71,87.24,93.19,6.3,6,270.43,151835.57,744,97.28,37.7,59.57,563.96,561.33,HAUL-0031
2020-01-01,Cat 793D,83.3,83.03,46.39,4.14,11,211.4,105759.43,744,130.33,45.29,85.05,506.57,504.3,HAUL-0031
2020-02-01,Cat 793D,74.02,79.36,24.68,3.01,16,235.09,93408.64,672,174.07,48.26,125.82,397.44,395.96,HAUL-0031
2020-03-01,Cat 793D,69.99,80,27.99,5.65,15,225.6,93351.5,744,218.13,56.98,133.6,417.77,415.23,HAUL-0031
2020-04-01,Cat 793D,83.02,75.34,50.9,6.71,9,273.71,122888.75,720,116.5,60.22,56.28,455.04,451.97,HAUL-0031
2020-05-01,Cat 793D,81.41,73.93,44.19,3.47,10,271.42,118838.59,744,137.68,34.77,102.91,446.1,438.65,HAUL-0031
2020-06-01,Cat 793D,88.68,65.44,58.74,1.67,7,277.06,112460.68,720,84.86,11.72,73.13,414.91,404.68,HAUL-0031
2020-07-01,Cat 793D,87.17,82.23,40.96,3.56,13,341.88,177683.62,744,97.74,45.99,51.75,529.64,513.21,HAUL-0031
2020-08-01,Cat 793D,81.01,78.06,36.41,6.29,13,334.68,151968.83,744,143.55,63.87,61.73,470.81,450.25,HAUL-0031
2020-09-01,Cat 793D,86.33,81,46.48,2.31,11,365.52,177702.27,720,93.32,25.13,68.19,511.97,485.3,HAUL-0031
2020-10-01,Cat 793D,82.58,81.74,30.17,6.05,17,331.01,160368.34,744,123.59,71.33,21.3,511.8,486.57,HAUL-0031
2020-11-01,Cat 793D,85.02,62.77,14.36,3.8,8,296.78,31276.25,216,32.72,30.35,2.37,115.3,106.98,HAUL-0031
2019-08-01,Cat 793D,77.52,84.81,28.84,3.83,17,338.33,160944.14,744,171.49,65.35,106.14,489.21,481.39,HAUL-0032
2019-09-01,Cat 793D,86.39,87.55,78.57,10.28,7,310.27,169869.85,720,96.16,67.04,24.88,551.1,545.62,HAUL-0032
2019-10-01,Cat 793D,76.1,87.21,33.3,7.35,15,291.46,145964.19,744,173.39,111.11,62.29,497.61,495.15,HAUL-0032
2019-11-01,Cat 793D,89.97,86.44,139.17,4.88,4,281.06,155124.48,720,71.74,19.44,52.3,556.62,553.88,HAUL-0032
2019-12-01,Cat 793D,77.98,84.01,69.62,1.45,7,242.39,116832.27,744,165.19,6.22,155.13,488.43,486.45,HAUL-0032
2020-01-01,Cat 793D,90.39,84.39,70.13,1.97,8,233.76,129008.05,744,78.08,15.78,62.3,558.03,555.68,HAUL-0032
2020-02-01,Cat 793D,69.45,77.69,19.2,6.48,19,218.35,77936.31,672,205.55,119.28,81.43,362.41,360.48,HAUL-0032
2020-03-01,Cat 793D,62.55,79.71,23.56,7.46,16,217.95,82345.61,744,276.38,118.46,157.92,376.11,373.07,HAUL-0032
2020-04-01,Cat 793D,51.1,76.67,21.34,25,13,266.24,74172.7,720,352.62,322.85,28.25,280.17,279.14,HAUL-0032
2020-05-01,Cat 793D,63.65,65.67,19.55,13.92,16,267.53,81985.95,744,269.29,224.04,45.25,310.87,302.25,HAUL-0032
2020-06-01,Cat 793D,58.66,65.17,34.44,9.37,8,294.9,80059.14,720,296.6,75.01,221.59,277.11,269.19,HAUL-0032
2019-08-01,Cat 793D,89.36,79.83,59.03,1.98,9,372,195488.85,744,78.41,17.97,60.43,535.37,524.51,HAUL-0033
2019-09-01,Cat 793D,65.23,80.88,23.29,15.09,16,352.85,130758.02,720,254.29,241.55,12.73,373.81,365.62,HAUL-0033
2019-10-01,Cat 793D,62.81,82.92,48.69,30.55,8,316.1,119337.48,744,273.68,245.93,27.75,386.41,378.27,HAUL-0033
2019-11-01,Cat 793D,91.46,81.95,109.38,0.88,5,325.11,174885.38,720,64.82,4.45,60.36,542.06,534.7,HAUL-0033
2019-12-01,Cat 793D,77.73,84.88,29.05,6.89,17,341.08,164649.19,744,164.99,96.71,48.59,492.53,484.72,HAUL-0033
2020-01-01,Cat 793D,77.04,77.61,37.38,2.5,12,313.69,140742.33,744,166.81,29.77,137.03,451.8,444.31,HAUL-0033
2020-02-01,Cat 793D,65.96,83.57,53.36,18.4,7,315.78,114418.2,672,224.42,125.4,96.3,374.09,368.11,HAUL-0033
2020-03-01,Cat 793D,78.55,85.23,44.87,5.63,11,307.81,151161.01,744,159.66,62.01,97.65,495.24,487.06,HAUL-0033
2020-04-01,Cat 793D,80.23,84.1,60.41,10.43,8,314.28,150764.09,720,138.5,83.15,55.35,487.69,479.31,HAUL-0033
2020-05-01,Cat 793D,85.71,85.26,55.16,5.21,10,354.73,186322.69,744,101.24,52.42,48.82,546.63,531.94,HAUL-0033
2020-06-01,Cat 793D,86.84,84.95,87.78,2.22,6,397.34,202568.59,720,98.09,13.36,84.73,528.44,505.49,HAUL-0033
2020-07-01,Cat 793D,82.35,81.19,49.03,6.03,10,343.36,164665.15,744,135.47,60.8,74.68,491.63,477.14,HAUL-0033
2020-08-01,Cat 793D,92.87,83.4,74.21,3.4,5,318.91,114925.66,480,31.22,17.02,14.2,372.49,359.9,HAUL-0033
2019-08-01,Cat 793D,78.25,82.43,40.18,6.52,12,315.97,150399.99,744,165.33,77.93,87.41,478.7,472.01,HAUL-0034
2019-09-01,Cat 793D,79.2,86.68,23.69,2.75,21,285.95,140436.18,720,153.14,58.13,95.01,495.47,491.46,HAUL-0034
2019-10-01,Cat 793D,82.66,89.14,39.31,2.55,14,297.37,162986.04,744,123.32,35.32,88,552.54,549.67,HAUL-0034
2019-11-01,Cat 793D,51.41,84.32,51.36,30.27,6,243.27,74560.71,720,350.72,180.21,170.5,309,307.43,HAUL-0034
2019-12-01,Cat 793D,16.08,84.74,16.89,99.11,6,242.75,24568.13,744,624.51,599.89,24.62,101.08,100.69,HAUL-0034
2020-01-01,Cat 793D,0.01,0,0,375.02,2,0,0,744,743.91,743.91,0,0,0,HAUL-0034
2020-02-01,Cat 793D,0,100.89,0,673.01,1,0,0,672,672,672,0,0,0,HAUL-0034
2020-03-01,Cat 793D,0,99.81,0,737.2,1,0,0,744,744,744,0,0,0,HAUL-0034
2020-04-01,Cat 793D,0,100.28,0,713.45,1,0,0,720,720,720,0,0,0,HAUL-0034
2020-05-01,Cat 793D,69.67,69.46,21.19,12.69,17,285.28,99071.68,744,228.86,215.42,13.44,359.18,344.92,HAUL-0034
2020-06-01,Cat 793D,89.89,68.24,32.11,1.7,14,302.72,130933.86,720,71.51,15.76,47.56,445.4,433.4,HAUL-0034
2020-07-01,Cat 793D,90.7,80.56,54.94,2.4,10,341.76,181485.77,744,71.03,23.98,47.06,547.37,530.25,HAUL-0034
2020-08-01,Cat 793D,92.15,83.08,57.08,2.5,10,345.69,187855.63,744,57.04,25.19,31.85,571.38,550.26,HAUL-0034
2020-09-01,Cat 793D,84.44,84.03,87.17,1.64,6,336.63,164785.57,720,106.02,9.82,96.2,520.98,494.19,HAUL-0034
2020-10-01,Cat 793D,87.35,84.71,109.79,3.27,5,322.9,170169.83,744,97.88,16.2,81.68,546.61,519.93,HAUL-0034
2020-11-01,Cat 793D,89.17,72.25,78.22,2.4,6,338.3,149459.1,720,79.02,14.49,64.53,467,439.2,HAUL-0034
2020-12-01,Cat 793D,90.51,69.7,78.17,4.9,6,338.22,149869.27,744,65.28,29.35,35.93,469.74,445.01,HAUL-0034
2019-08-01,Cat 793D,86.63,81.49,37.63,2.14,14,332.54,172462.54,744,104.92,30.25,74.67,525.95,517.84,HAUL-0035
2019-09-01,Cat 793D,71.54,86.02,24.83,8.06,18,297.62,133614.85,720,202.84,146.08,56.76,447.9,444.61,HAUL-0035
2019-10-01,Cat 793D,90.11,87.71,44.28,2.27,13,284.24,165977.2,744,76.86,29.19,47.67,580.05,576.28,HAUL-0035
2019-11-01,Cat 793D,80.99,83.37,23.45,1.55,21,240.78,118393.49,720,133.83,32.33,101.5,490.22,488.54,HAUL-0035
2019-12-01,Cat 793D,82.5,84.44,26.97,3.96,19,279.86,143325.74,744,136.21,73.32,61.15,510.14,507.96,HAUL-0035
2020-01-01,Cat 793D,71.37,80.48,17.74,5.01,24,213.4,91071.35,744,215.72,77.15,96.29,426.14,425.01,HAUL-0035
2020-02-01,Cat 793D,75.61,78.19,23.34,5.39,17,201.77,80428.56,672,166.36,91.4,74.96,397.16,396.06,HAUL-0035
2020-03-01,Cat 793D,87.06,75.71,23.09,2.15,21,239.44,115447.86,744,98.92,44.56,53.82,485.56,479.35,HAUL-0035
2020-04-01,Cat 793D,69.98,69.78,35.01,17.6,10,253.47,88146.51,720,212.33,175.85,36.48,352.5,349.62,HAUL-0035
2020-05-01,Cat 793D,91.63,64.43,44.33,1.79,10,284.07,123114.3,744,55.65,17.72,37.94,441.7,435.55,HAUL-0035
2020-06-01,Cat 793D,84.94,57.63,39.36,3.53,9,261.34,88543.26,720,102.61,31.62,70.99,353.95,340.52,HAUL-0035
2020-07-01,Cat 793D,83.02,76.93,43.22,3.86,11,317.76,146172.48,744,121.65,41.63,79.33,478.7,462.3,HAUL-0035
2020-08-01,Cat 793D,80.84,77.1,42.1,1.85,11,346.28,149740.37,744,137.46,20.33,117.14,463.59,437.43,HAUL-0035
2020-09-01,Cat 793D,76.2,77.24,28.4,2.72,15,289.77,117499.48,720,167.15,40.39,126.75,426.22,408.18,HAUL-0035
2020-10-01,Cat 793D,79.15,67.25,39.99,5.61,10,306.1,116749.65,744,149.69,55.51,93.58,403.07,381.82,HAUL-0035
2020-11-01,Cat 793D,66.84,54,11.84,4.7,22,327.89,81481.34,720,238.62,96.65,135.29,260.7,245.47,HAUL-0035
